C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 15.581868 -8.318843 39.482586
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 15.488418 -6.421426 37.398270
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 15.691566 -4.471672 35.854568
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 16.540733 -2.271909 35.353142
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 18.441263 0.389836 36.492695
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 21.813316 3.802754 39.823879
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 27.046698 8.379844 45.713314
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 34.459518 14.611051 54.307995
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 44.254219 22.944738 65.563942
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 56.468311 33.679428 79.257202
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 70.923515 46.879875 94.966911
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 87.187943 62.300152 112.075966
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 104.574715 79.340851 129.808578
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 122.209091 97.120300 147.298111
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 139.179047 114.682976 163.675110
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 154.720978 131.238983 178.202728
