C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 -5.433401 -37.506481 26.639917
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 -2.059921 -36.753395 32.633801
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 1.046604 -36.836575 38.929775
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 3.917951 -37.531097 45.367241
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 6.618892 -38.522717 51.760490
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 9.241918 -39.445965 57.930038
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 11.897445 -39.925171 63.720055
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 14.703304 -39.615189 69.021790
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 17.786880 -38.240211 73.813744
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 21.294687 -35.625080 78.214684
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 25.405245 -31.707150 82.517403
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 30.317417 -26.517738 87.152565
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 36.219517 -20.140978 92.580261
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 43.241337 -12.672712 99.155151
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 51.412510 -4.201834 107.027092
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 60.642212 5.169119 116.115303
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 70.720123 15.284315 126.156174
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 81.337219 25.895197 136.779480
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 92.118271 36.651867 147.584442
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 102.664383 47.141102 158.187668
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 112.603203 56.962803 168.243835
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 121.634056 65.814888 177.453461
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 129.553314 73.533394 185.573013
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 136.247711 80.070045 192.425140
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 141.672058 85.442284 197.901825
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 145.842361 89.711067 201.973907
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 10.0 148.845398 92.983688 204.707352
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 15.0 150.835083 95.407150 206.263000
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 20.0 152.001389 97.134880 206.867676
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 25.0 152.531021 98.289490 206.772552
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 30.0 152.580490 98.943398 206.217834
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 35.0 152.264297 99.122406 205.406189
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 40.0 151.657944 98.830109 204.485565
