C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 -8.621902 -69.613029 52.369465
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 -4.701822 -65.736679 56.333046
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 -0.330274 -61.442814 60.782505
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 4.676773 -56.514637 65.868423
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 10.527974 -50.733936 71.789886
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 17.435793 -43.910965 78.782310
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 25.587124 -35.915943 87.090187
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 35.108410 -26.699383 96.916435
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 46.026882 -16.300018 108.353783
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 58.239063 -4.841400 121.319534
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 71.500938 7.480967 135.521149
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 85.442764 20.409672 150.476089
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 99.609009 33.637127 165.581131
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 113.505905 46.819408 180.192398
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 126.647797 59.609013 193.686584
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 138.606873 71.695961 205.518036
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 149.071976 82.850807 215.293137
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 157.894424 92.941628 222.847214
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 165.090714 101.921577 228.259613
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 170.797073 109.796860 231.797043
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 175.209961 116.592827 233.827103
