C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 13.576179 -9.126435 36.278549
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 14.172724 -8.521286 36.866489
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 14.593600 -7.753610 36.940582
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 15.007553 -6.596375 36.611717
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 15.619633 -4.869834 36.108864
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 16.639441 -2.441117 35.720005
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 18.248627 0.781317 35.715946
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 20.574820 4.862000 36.287395
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 23.690420 9.842523 37.538559
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 27.634638 15.692285 39.576992
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 32.438538 22.173964 42.703110
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 38.142033 28.682417 47.601650
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 44.791973 34.523575 55.060364
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 52.422283 39.755280 65.089287
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 61.023174 45.054630 76.991486
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 70.505264 50.984695 90.025589
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 80.676865 57.823921 103.529808
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 91.247353 65.629181 116.865288
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 101.862061 74.301300 129.422821
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 112.155792 83.619431 140.691910
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 121.790359 93.251846 150.328873
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 130.478973 102.772415 158.185760
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 138.007233 111.722008 164.292450
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 144.257553 119.699348 168.815765
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 149.217529 126.413818 172.021225
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 152.952377 131.677795 174.226715
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 10.0 155.565842 135.396637 175.735291
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 15.0 157.170486 137.582520 176.758453
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 20.0 157.874100 138.377441 177.370773
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 25.0 157.782806 138.034958 177.530899
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 30.0 157.004868 136.855957 177.153763
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 35.0 155.653320 135.126328 176.180542
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 40.0 153.845764 133.081192 174.610550
