C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 23.743000 -8.638868 56.125111
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 25.497263 -6.431940 57.426708
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 27.842566 -3.649507 59.334881
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 30.971798 -0.021004 61.964596
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 35.129200 4.734375 65.524025
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 40.586529 10.860899 70.312149
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 47.596394 18.517027 76.675529
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 56.337105 27.750311 84.924133
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 66.860512 38.503876 95.217148
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 79.049751 50.638153 107.461357
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 92.601051 63.928699 121.273163
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 107.031158 78.019897 136.042175
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 121.728935 92.394798 151.063324
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 136.054596 106.434608 165.674347
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 149.456528 119.556427 179.356613
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 161.552795 131.327423 191.778168
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 172.143112 141.508820 202.777420
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 181.173737 150.039688 212.308029
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 188.688614 156.998642 220.378571
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 194.785263 162.560410 227.010117
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 199.584137 166.951569 232.216721
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 203.213593 170.414429 236.012756
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 205.803162 173.174637 238.431442
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 207.487640 175.425781 239.549728
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 208.408508 177.321533 239.495468
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 208.708450 178.977081 238.439804
