C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 2.559712 -50.084099 55.203526
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 1.940467 -48.972752 52.853443
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 1.415862 -47.807865 50.639584
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 1.169693 -46.695793 49.035419
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 1.365910 -45.688179 48.420227
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 2.140033 -44.731449 49.011757
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 3.602469 -43.649017 50.853729
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 5.846921 -42.168896 53.862495
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 8.959892 -39.983234 57.903271
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 13.020981 -36.809563 62.851288
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 18.094477 -32.425350 68.614059
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 24.220047 -26.680508 75.120834
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 31.406059 -19.484217 82.296089
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 39.628139 -10.789869 90.045898
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 48.837284 -0.591494 98.266068
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 58.967297 11.062615 106.871979
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 69.934288 24.038403 115.830177
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 81.625214 38.085152 125.165520
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 93.872055 52.817829 134.926041
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 106.428398 67.736450 145.120346
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 118.972549 82.271950 155.672913
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 131.146011 95.860054 166.432220
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 142.610611 108.032089 177.189133
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 153.083344 118.497177 187.669525
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 162.347946 127.157822 197.538300
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 170.262909 134.065872 206.459930
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 10.0 176.777084 139.391037 214.163147
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 15.0 181.939728 143.410538 220.468918
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 20.0 185.888962 146.485992 225.291931
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 25.0 188.819580 149.003860 228.635315
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 30.0 190.944778 151.301361 230.587936
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 35.0 192.462662 153.610580 231.314972
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 40.0 193.536484 156.031174 231.042038
