C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 0.540397 -21.578564 22.659615
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 2.237778 -21.035568 25.511124
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 4.328556 -20.227747 28.884846
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 6.996989 -18.622862 32.616592
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 10.467509 -15.804573 36.739586
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 15.001577 -11.466716 41.469872
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 20.885513 -5.392060 47.163090
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 28.404217 2.559477 54.248962
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 37.791424 12.438782 63.144062
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 49.152290 24.161732 74.142845
