C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 13.298220 -11.788893 38.385574
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 13.192582 -12.144517 38.529453
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 12.986806 -12.378030 38.351875
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 12.776009 -12.333812 37.885830
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 12.688776 -11.869194 37.246738
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 12.884994 -10.857265 36.627251
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 13.551562 -9.194543 36.297909
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 14.898326 -6.807651 36.604309
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 17.152336 -3.655718 37.960396
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 20.548529 0.272240 40.824814
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 25.313232 4.986521 45.639702
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 31.638124 10.563588 52.712669
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 39.656574 17.220928 62.092461
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 49.415424 25.301758 73.529091
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 60.839149 35.133980 86.544548
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 73.690178 46.839722 100.540390
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 87.544533 60.199104 114.889954
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 101.823349 74.639961 129.006485
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 115.890884 89.381958 142.400055
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 129.193863 103.670815 154.716919
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 141.362305 116.966385 165.757996
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 152.230362 128.993576 175.467133
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 161.784622 139.661102 183.908127
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 170.084854 148.929047 191.240646
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 177.197250 156.722839 197.671661
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 183.166046 162.961929 203.370148
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 10.0 188.025146 167.659485 208.390808
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 15.0 191.831467 170.977997 212.684937
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 20.0 194.684875 173.177994 216.191772
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 25.0 196.726669 174.533829 218.919479
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 30.0 198.119308 175.279755 220.959106
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 35.0 199.024414 175.592361 222.456207
