C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 -21.395252 -46.603065 3.812790
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 -17.984493 -42.410526 6.441315
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 -13.054392 -36.577976 10.468941
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 -6.334187 -28.864002 16.195621
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 2.388830 -19.130016 23.907436
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 13.245405 -7.319592 33.810635
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 26.266363 6.550058 45.982906
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 41.355869 22.344852 60.367123
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 58.265598 39.738079 76.792870
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 76.592117 58.203457 94.980774
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 95.811058 77.118393 114.503967
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 115.323738 95.887543 134.759689
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 134.500626 113.985580 155.015427
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 152.731537 130.946686 174.516144
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 169.488068 146.386093 192.589813
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 184.390198 160.060471 208.720154
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 197.252228 171.904358 222.600082
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 208.083466 182.011200 234.155731
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 217.046432 190.576950 243.516159
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 224.390915 197.844467 250.937363
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 230.385742 204.055359 256.715881
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 235.273544 209.415405 261.131897
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 239.250732 214.076874 264.424622
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 242.466949 218.135559 266.798584
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 245.037170 221.639069 268.435028
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 247.050262 224.599564 269.500732
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 10.0 248.577942 227.005096 270.150818
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 15.0 249.678543 228.832962 270.523895
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 20.0 250.399368 230.062378 270.736359
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 25.0 250.778900 230.687363 270.870422
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 30.0 250.847977 230.726074 270.969849
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 35.0 250.631195 230.221802 271.040375
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 250 5 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 40.0 250.148178 229.236877 271.059479
