C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 -9.551848 -58.469177 39.365475
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 -6.890830 -54.743164 40.961517
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 -4.778549 -51.492283 41.935200
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 -3.161470 -48.635517 42.312584
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 -1.884730 -46.001022 42.231564
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 -0.701199 -43.356728 41.954323
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 0.695759 -40.461002 41.852512
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 2.627115 -37.106640 42.360622
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 5.382781 -33.138283 43.903843
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 9.185036 -28.437391 46.807697
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 14.172246 -22.880161 51.224895
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 20.402975 -16.311243 57.117203
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 27.872446 -8.570034 64.315163
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 36.525196 0.433812 72.616829
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 46.255131 10.629786 81.880226
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 56.899708 21.715565 92.083855
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 68.237152 33.134510 103.339561
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 79.990692 44.156708 115.824921
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 91.847244 54.092419 129.602081
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 103.482246 62.542980 144.421509
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 114.585945 69.474693 159.697189
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 124.878716 75.075180 174.682251
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 134.126587 79.569099 188.684311
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 142.168930 83.140717 201.197403
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 148.946732 85.954941 211.938766
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 154.501343 88.184570 220.818100
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 10.0 158.937653 89.999298 227.875763
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 15.0 162.377823 91.529373 233.226257
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 20.0 164.932007 92.843636 237.020630
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 25.0 166.687469 93.950684 239.424011
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 30.0 167.713501 94.822083 240.604904
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 35.0 168.071991 95.418144 240.725830
