C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 -24.372963 -92.899040 44.152885
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 -21.995630 -88.558556 44.567551
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 -19.019115 -83.342865 45.304626
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 -15.294784 -77.352570 46.763004
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 -10.663198 -70.724617 49.398216
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 -4.957315 -63.575169 53.660545
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 1.987549 -55.970188 59.945286
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 10.312874 -47.934055 68.559563
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 20.105423 -39.480625 79.691467
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 31.363279 -30.637625 93.363937
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 43.963833 -21.451180 109.378853
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 57.641567 -11.988458 127.271584
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 71.986343 -2.348635 146.321075
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 86.483131 7.318923 165.647339
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 100.597511 16.810329 184.384460
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 113.871811 25.891850 201.851532
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 125.983139 34.340500 217.625778
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 136.741959 41.973442 231.510727
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 146.063675 48.663769 243.463348
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 153.937057 54.342888 253.531219
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 160.409424 59.006256 261.812347
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 165.576111 62.716492 268.435760
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 169.576263 65.601463 273.551300
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 172.580734 67.836830 277.324402
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 174.773560 69.617615 279.929718
