C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 3.728421 -24.281891 31.738749
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 4.036972 -23.937735 32.011684
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 4.187304 -23.816092 32.190693
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 4.199257 -23.819439 32.217937
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 4.115365 -23.858629 32.089359
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 4.017612 -23.834255 31.869720
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 4.046296 -23.616526 31.708868
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 4.407184 -23.035038 31.849165
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 5.360793 -21.877079 32.598671
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 7.188663 -19.892422 34.269756
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 10.149400 -16.794266 37.092823
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 14.442554 -12.274778 41.159645
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 20.189785 -6.052653 46.432228
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 27.421446 2.042999 52.799667
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 36.063927 12.003801 60.124058
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 45.932476 23.615616 68.249107
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 56.738384 36.484093 76.992683
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 68.114067 50.083668 86.144707
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 79.641518 63.814457 95.468575
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 90.886230 77.069160 104.703293
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 101.446442 89.309067 113.583817
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 111.009308 100.113060 121.905319
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 119.383156 109.179047 129.587021
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 126.489578 116.338295 136.641098
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 132.330505 121.599876 143.061127
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 136.957062 125.145203 148.769165
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 10.0 140.451477 127.236214 153.666748
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 15.0 142.914368 128.136765 157.691742
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 20.0 144.457123 128.080841 160.833405
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 25.0 145.193726 127.268959 163.118713
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 30.0 145.234344 125.870811 164.597656
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 35.0 144.679871 124.027641 165.331863
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 40.0 143.621582 121.853699 165.389465
