C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 1.735645 -16.146822 19.618097
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 0.565982 -18.333422 19.465380
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 0.342513 -20.467699 21.152960
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 1.357306 -21.869671 24.584282
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 3.932766 -21.923918 29.789463
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 8.377928 -20.152929 36.908794
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 14.930115 -16.226170 46.086155
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 23.691139 -9.981579 57.363605
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 34.568504 -1.457393 70.594650
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 47.244110 9.095645 85.392815
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 61.194298 21.242107 101.146500
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 75.778320 34.439205 117.117195
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 90.363533 48.131042 132.595795
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 104.425575 61.830997 147.020157
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 117.585876 75.163132 160.008850
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 129.601593 87.863594 171.339600
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 140.338440 99.753365 180.923492
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 149.741165 110.701714 188.780624
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 157.805267 120.596077 195.014465
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 164.557983 129.334641 199.781326
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 170.048523 136.834457 203.262589
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 174.349335 143.054901 205.643509
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 177.557190 148.014404 207.099731
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 179.792557 151.798721 207.786392
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 181.194046 154.549133 207.838959
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 150 20 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 181.908417 156.439392 207.377213
