C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 -1.055157 -25.429338 23.319017
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 -0.783652 -23.024754 21.457209
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 -0.469610 -21.577610 20.638632
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 -0.064980 -20.904821 20.774620
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 0.479939 -20.661053 21.620916
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 1.225855 -20.499966 22.951668
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 2.248776 -20.166563 24.663864
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 3.643817 -19.488520 26.775911
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 5.526660 -18.314062 29.367626
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 8.027795 -16.459909 32.515499
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 11.280586 -13.697777 36.259190
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 15.413372 -9.783438 40.609947
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 20.541599 -4.499864 45.583298
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 26.763725 2.293471 51.233978
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 34.142128 10.609472 57.674553
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 42.675148 20.275827 65.074707
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 52.265980 30.902964 73.628990
