C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 -11.881617 -61.383297 37.620056
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 -10.443318 -60.159622 39.272984
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 -8.587242 -58.991390 41.816898
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 -6.108097 -57.591568 45.375126
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 -2.780502 -55.591370 50.030376
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 1.627372 -52.574955 55.829464
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 7.328483 -48.132179 62.788910
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 14.477207 -41.923447 70.878105
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 23.124945 -33.732433 79.982094
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 33.192345 -23.497974 89.882668
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 44.488438 -11.317110 100.293983
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -65.0 56.757267 2.565688 110.948845
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -60.0 69.718712 17.771824 121.665604
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -55.0 83.080727 33.811115 132.350342
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -50.0 96.534035 50.119759 142.948318
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -45.0 109.753128 66.121048 153.385208
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -40.0 122.414391 81.299698 163.528839
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -35.0 134.233902 95.268532 173.199265
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -30.0 145.003708 107.792374 182.215302
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -25.0 154.602188 118.765579 190.438568
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -20.0 162.977463 128.166885 197.788055
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -15.0 170.128586 136.022095 204.235092
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -10.0 176.092590 142.386185 209.799011
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -5.0 180.942383 147.341141 214.543869
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 0.0 184.784546 151.001175 218.567917
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 5.0 187.751968 153.511398 221.992538
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 10.0 189.992126 155.035736 224.948730
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 15.0 191.653412 155.736481 227.570572
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 20.0 192.872543 155.753937 229.991150
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 25.0 193.765930 155.196106 232.335739
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 30.0 194.426758 154.140442 234.712845
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 35.0 194.925079 152.646225 237.203934
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 300 55 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 40.0 195.312027 150.769821 239.854218
