C(%) Mn(%) Si(%) S(%) P(%) Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Cr(%) Ni(%) Mo(%) V(ppm) Cu(%) Nb(ppm) Temp Predicted Pred-err Pred+err
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -120.0 15.981476 -14.014454 45.977413
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -115.0 15.135414 -14.249149 44.519989
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -110.0 14.204035 -14.432474 42.840294
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -105.0 13.342680 -14.478117 41.163471
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -100.0 12.741356 -14.291458 39.773930
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -95.0 12.618026 -13.765656 39.001713
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -90.0 13.214093 -12.762815 39.191002
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -85.0 14.780978 -11.084324 40.646275
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -80.0 17.558640 -8.457951 43.575222
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -75.0 21.749739 -4.567502 48.067230
0.0702000 1.4708000 0.3776000 0.0066000 0.0085000 28 5 20 200 368.5098877 0.0300000 0.0300000 0.0050000 5.0000000 0.0300000 5.0000000 -70.0 27.503906 0.883372 54.124199
