Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -120.0 24.925812 9.982577 39.869045
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -115.0 25.139715 10.577683 39.701511
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -110.0 25.964508 11.843191 40.085819
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -105.0 27.379622 13.610353 41.148891
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -100.0 29.424986 15.796726 43.053486
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -95.0 32.230846 18.474247 45.987450
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -90.0 36.010868 21.877365 50.144375
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -85.0 41.023415 26.351686 55.695385
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -80.0 47.514660 32.272671 62.756405
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -75.0 55.656189 39.956520 71.356102
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -70.0 65.490799 49.575558 81.406296
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -65.0 76.890862 61.100376 92.681114
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -60.0 89.543762 74.273338 104.813950
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -55.0 102.978195 88.630302 117.326317
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -50.0 116.626289 103.566612 129.685959
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -45.0 129.911575 118.432411 141.390747
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -40.0 142.336945 132.632828 152.041306
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -35.0 153.546768 145.701355 161.392426
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -30.0 163.349121 157.336349 169.362122
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -25.0 171.704788 167.386536 176.023041
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -20.0 178.693863 175.787155 181.600586
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -15.0 184.475754 182.416534 186.534988
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -10.0 189.250259 187.151596 191.348923
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 -5.0 193.228180 190.519836 195.936523
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 0.0 196.610031 193.203568 200.016495
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 5.0 199.573151 195.567993 203.578308
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 10.0 202.264999 197.819366 206.710892
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 15.0 204.802704 200.091782 209.513397
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 20.0 207.271103 202.472946 212.069260
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 25.0 209.728256 205.013504 214.443008
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 30.0 212.207642 207.732605 216.682678
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 35.0 214.722168 210.617111 218.827225
231.4308014 55.9723015 47.1304016 111.6443024 368.5098877 40.0 217.267990 213.614883 220.921112
