Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
250 150 300 200 368.5098877 -120.0 -18.136963 -123.505386 87.231674
250 150 300 200 368.5098877 -115.0 -18.647707 -126.339928 89.044731
250 150 300 200 368.5098877 -110.0 -18.579357 -128.327209 91.168488
250 150 300 200 368.5098877 -105.0 -17.830570 -129.349899 93.688744
250 150 300 200 368.5098877 -100.0 -16.294277 -129.295166 96.706352
250 150 300 200 368.5098877 -95.0 -13.859349 -128.051636 100.332703
250 150 300 200 368.5098877 -90.0 -10.410340 -125.500786 104.679871
250 150 300 200 368.5098877 -85.0 -5.829668 -121.506859 109.847290
250 150 300 200 368.5098877 -80.0 -0.003796 -115.908997 115.901161
250 150 300 200 368.5098877 -75.0 7.165008 -108.527489 122.857254
250 150 300 200 368.5098877 -70.0 15.739609 -99.186890 130.666336
250 150 300 200 368.5098877 -65.0 25.724308 -87.760780 139.209641
250 150 300 200 368.5098877 -60.0 37.039288 -74.230270 148.308838
250 150 300 200 368.5098877 -55.0 49.502178 -58.733505 157.737869
250 150 300 200 368.5098877 -50.0 62.826431 -41.587650 167.240509
250 150 300 200 368.5098877 -45.0 76.638718 -23.266628 176.544312
250 150 300 200 368.5098877 -40.0 90.523903 -4.341653 185.389694
250 150 300 200 368.5098877 -35.0 104.086433 14.600053 193.573059
250 150 300 200 368.5098877 -30.0 117.010124 33.018353 201.001892
250 150 300 200 368.5098877 -25.0 129.089188 50.460331 207.717789
250 150 300 200 368.5098877 -20.0 140.222519 66.574669 213.870605
250 150 300 200 368.5098877 -15.0 150.380020 81.111122 219.649155
250 150 300 200 368.5098877 -10.0 159.557388 93.914116 225.200882
250 150 300 200 368.5098877 -5.0 167.743607 104.915527 230.571457
250 150 300 200 368.5098877 0.0 174.905960 114.124672 235.687012
250 150 300 200 368.5098877 5.0 180.995438 121.616371 240.374512
250 150 300 200 368.5098877 10.0 185.962814 127.516563 244.408829
250 150 300 200 368.5098877 15.0 189.777023 131.984909 247.569122
250 150 300 200 368.5098877 20.0 192.443298 135.202087 249.684280
250 150 300 200 368.5098877 25.0 194.007553 137.355469 250.659866
250 150 300 200 368.5098877 30.0 194.555832 138.628860 250.482773
250 150 300 200 368.5098877 35.0 194.204498 139.196259 249.212494
250 150 300 200 368.5098877 40.0 193.087173 139.215851 246.958252
