Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
250 150 300 55 368.5098877 -120.0 37.556007 25.953510 49.158501
250 150 300 55 368.5098877 -115.0 39.048317 28.652302 49.444344
250 150 300 55 368.5098877 -110.0 41.603706 31.742331 51.465324
250 150 300 55 368.5098877 -105.0 45.061806 35.376801 54.747036
250 150 300 55 368.5098877 -100.0 49.270832 39.637455 58.904446
250 150 300 55 368.5098877 -95.0 54.133289 44.468365 63.797966
250 150 300 55 368.5098877 -90.0 59.624546 49.703896 69.545197
250 150 300 55 368.5098877 -85.0 65.788124 55.147839 76.428398
250 150 300 55 368.5098877 -80.0 72.709801 60.704117 84.715721
250 150 300 55 368.5098877 -75.0 80.486618 66.476440 94.496803
250 150 300 55 368.5098877 -70.0 89.198410 72.739914 105.656670
250 150 300 55 368.5098877 -65.0 98.889145 79.837021 117.941269
250 150 300 55 368.5098877 -60.0 109.556427 88.098770 131.014084
250 150 300 55 368.5098877 -55.0 121.146492 97.797150 144.495834
250 150 300 55 368.5098877 -50.0 133.554184 109.117867 157.990738
250 150 300 55 368.5098877 -45.0 146.624130 122.129021 171.119003
250 150 300 55 368.5098877 -40.0 160.150574 136.752472 183.548676
250 150 300 55 368.5098877 -35.0 173.878494 152.725327 195.031906
250 150 300 55 368.5098877 -30.0 187.505325 169.546860 205.463791
250 150 300 55 368.5098877 -25.0 200.687851 186.370071 215.005386
250 150 300 55 368.5098877 -20.0 213.066376 201.725830 224.406693
250 150 300 55 368.5098877 -15.0 224.307022 213.393799 235.220245
250 150 300 55 368.5098877 -10.0 234.152618 220.407730 247.897751
250 150 300 55 368.5098877 -5.0 242.463379 224.087616 260.839142
250 150 300 55 368.5098877 0.0 249.225632 225.630844 272.820435
250 150 300 55 368.5098877 5.0 254.533112 225.643738 283.422699
250 150 300 55 368.5098877 10.0 258.549255 224.483170 292.615143
250 150 300 55 368.5098877 15.0 261.469604 222.416290 300.523163
250 150 300 55 368.5098877 20.0 263.495148 219.671143 307.319122
250 150 300 55 368.5098877 25.0 264.814423 216.455872 313.172729
250 150 300 55 368.5098877 30.0 265.596405 212.963608 318.229248
250 150 300 55 368.5098877 35.0 265.990295 209.376221 322.604614
250 150 300 55 368.5098877 40.0 266.125824 205.863876 326.387512
