Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
250 150 20 200 368.5098877 -120.0 26.134193 19.160896 33.107498
250 150 20 200 368.5098877 -115.0 23.206926 15.647354 30.766735
250 150 20 200 368.5098877 -110.0 20.885998 12.925864 28.845890
250 150 20 200 368.5098877 -105.0 19.362612 11.270065 27.454910
250 150 20 200 368.5098877 -100.0 18.855215 10.960325 26.750099
250 150 20 200 368.5098877 -95.0 19.598503 12.253312 26.943930
250 150 20 200 368.5098877 -90.0 21.819771 15.331874 28.307659
250 150 20 200 368.5098877 -85.0 25.704956 20.242130 31.167774
250 150 20 200 368.5098877 -80.0 31.365189 26.855736 35.874882
250 150 20 200 368.5098877 -75.0 38.816971 34.930592 42.703587
250 150 20 200 368.5098877 -70.0 47.978081 44.323055 51.632866
250 150 20 200 368.5098877 -65.0 58.673332 55.062759 62.283665
250 150 20 200 368.5098877 -60.0 70.634804 67.063904 74.205460
250 150 20 200 368.5098877 -55.0 83.497543 79.911827 87.083260
250 150 20 200 368.5098877 -50.0 96.807449 92.966721 100.648422
250 150 20 200 368.5098877 -45.0 110.057373 105.681763 114.432983
250 150 20 200 368.5098877 -40.0 122.750664 117.760582 127.740746
250 150 20 200 368.5098877 -35.0 134.469315 129.045441 139.892944
250 150 20 200 368.5098877 -30.0 144.920547 139.422821 150.418015
250 150 20 200 368.5098877 -25.0 153.949722 148.789948 159.109253
250 150 20 200 368.5098877 -20.0 161.521240 157.026367 166.016113
250 150 20 200 368.5098877 -15.0 167.683853 163.943512 171.424210
250 150 20 200 368.5098877 -10.0 172.535553 169.239517 175.831604
250 150 20 200 368.5098877 -5.0 176.199432 172.695694 179.702927
250 150 20 200 368.5098877 0.0 178.807404 174.581879 183.032669
250 150 20 200 368.5098877 5.0 180.494980 175.409775 185.580414
250 150 20 200 368.5098877 10.0 181.398392 175.565842 187.230942
250 150 20 200 368.5098877 15.0 181.650787 175.304855 187.996704
250 150 20 200 368.5098877 20.0 181.381912 174.807495 187.956314
250 150 20 200 368.5098877 25.0 180.714371 174.210464 187.218521
250 150 20 200 368.5098877 30.0 179.762680 173.619904 185.905457
250 150 20 200 368.5098877 35.0 178.629822 173.111313 184.148331
250 150 20 200 368.5098877 40.0 177.407806 172.711227 182.104401
