Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
250 150 20 55 368.5098877 -120.0 35.702805 25.725269 45.680096
250 150 20 55 368.5098877 -115.0 35.654041 24.908846 46.399242
250 150 20 55 368.5098877 -110.0 36.571323 25.185843 47.956806
250 150 20 55 368.5098877 -105.0 38.397285 26.509428 50.285149
250 150 20 55 368.5098877 -100.0 41.131924 28.854254 53.409595
250 150 20 55 368.5098877 -95.0 44.856262 32.255226 57.457058
250 150 20 55 368.5098877 -90.0 49.728035 36.832073 62.624001
250 150 20 55 368.5098877 -85.0 55.948486 42.779110 69.117867
250 150 20 55 368.5098877 -80.0 63.709538 50.325298 77.093536
250 150 20 55 368.5098877 -75.0 73.135216 59.664940 86.605255
250 150 20 55 368.5098877 -70.0 84.226974 70.870216 97.583961
250 150 20 55 368.5098877 -65.0 96.822273 83.807762 109.836777
250 150 20 55 368.5098877 -60.0 110.581261 98.095665 123.067101
250 150 20 55 368.5098877 -55.0 125.019249 113.132347 136.905914
250 150 20 55 368.5098877 -50.0 139.575546 128.204636 150.946442
250 150 20 55 368.5098877 -45.0 153.708328 142.632828 164.783600
250 150 20 55 368.5098877 -40.0 166.970917 155.892792 178.048813
250 150 20 55 368.5098877 -35.0 179.055008 167.673340 190.436661
250 150 20 55 368.5098877 -30.0 189.793030 177.867645 201.718414
250 150 20 55 368.5098877 -25.0 199.135300 186.529007 211.741837
250 150 20 55 368.5098877 -20.0 207.118851 193.811813 220.425903
250 150 20 55 368.5098877 -15.0 213.835709 199.919464 227.752213
250 150 20 55 368.5098877 -10.0 219.410858 205.067047 233.754684
250 150 20 55 368.5098877 -5.0 223.981979 209.456039 238.507919
250 150 20 55 368.5098877 0.0 227.690063 213.262115 242.118027
250 150 20 55 368.5098877 5.0 230.670395 216.630341 244.710449
250 150 20 55 368.5098877 10.0 233.050598 219.676636 246.424789
250 150 20 55 368.5098877 15.0 234.948013 222.488708 247.407318
250 150 20 55 368.5098877 20.0 236.469254 225.130615 247.807892
250 150 20 55 368.5098877 25.0 237.711334 227.645126 247.777298
250 150 20 55 368.5098877 30.0 238.760788 230.055923 247.465637
250 150 20 55 368.5098877 35.0 239.696228 232.367050 247.025650
250 150 20 55 368.5098877 40.0 240.586746 234.558456 246.614807
