Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
250 5 300 200 368.5098877 -120.0 -3.805096 -9.452671 1.842237
250 5 300 200 368.5098877 -115.0 -3.234122 -8.471327 2.003083
250 5 300 200 368.5098877 -110.0 -2.914581 -7.925453 2.096057
250 5 300 200 368.5098877 -105.0 -3.013772 -7.955811 1.928273
250 5 300 200 368.5098877 -100.0 -3.604334 -8.673285 1.464852
250 5 300 200 368.5098877 -95.0 -4.651151 -10.092466 0.790392
250 5 300 200 368.5098877 -90.0 -6.027310 -12.095769 0.041135
250 5 300 200 368.5098877 -85.0 -7.543289 -14.447760 -0.638590
250 5 300 200 368.5098877 -80.0 -8.976102 -16.845407 -1.106783
250 5 300 200 368.5098877 -75.0 -10.092950 -18.963430 -1.222698
250 5 300 200 368.5098877 -70.0 -10.666546 -20.480606 -0.852244
250 5 300 200 368.5098877 -65.0 -10.482750 -21.088860 0.123588
250 5 300 200 368.5098877 -60.0 -9.348936 -20.497572 1.799458
250 5 300 200 368.5098877 -55.0 -7.097561 -18.440022 4.244906
250 5 300 200 368.5098877 -50.0 -3.589989 -14.687954 7.507969
250 5 300 200 368.5098877 -45.0 1.277958 -9.076234 11.632151
250 5 300 200 368.5098877 -40.0 7.568918 -1.546542 16.684378
250 5 300 200 368.5098877 -35.0 15.294108 7.777323 22.811136
250 5 300 200 368.5098877 -30.0 24.401684 18.446283 30.357090
250 5 300 200 368.5098877 -25.0 34.761616 29.520828 40.002411
250 5 300 200 368.5098877 -20.0 46.156422 40.180466 52.132378
250 5 300 200 368.5098877 -15.0 58.276829 50.745697 65.807961
250 5 300 200 368.5098877 -10.0 70.730637 61.716515 79.744766
250 5 300 200 368.5098877 -5.0 83.068062 73.133064 93.003052
250 5 300 200 368.5098877 0.0 94.825188 84.714294 104.936317
250 5 300 200 368.5098877 5.0 105.577316 96.011101 115.143295
250 5 300 200 368.5098877 10.0 114.990570 106.515869 123.465271
250 5 300 200 368.5098877 15.0 122.858688 115.723106 129.994278
250 5 300 200 368.5098877 20.0 129.110458 123.096497 135.124176
250 5 300 200 368.5098877 25.0 133.793182 128.040451 139.545670
250 5 300 200 368.5098877 30.0 137.039276 130.305923 143.772858
250 5 300 200 368.5098877 35.0 139.031815 130.354919 147.708710
250 5 300 200 368.5098877 40.0 139.970367 128.801910 151.139084
