Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
250 5 300 55 368.5098877 -120.0 2.125687 -4.017084 8.268707
250 5 300 55 368.5098877 -115.0 -3.674835 -9.340573 1.990654
250 5 300 55 368.5098877 -110.0 -8.179749 -13.539082 -2.820176
250 5 300 55 368.5098877 -105.0 -10.974861 -16.154230 -5.795493
250 5 300 55 368.5098877 -100.0 -11.666282 -16.750048 -6.582515
250 5 300 55 368.5098877 -95.0 -9.917759 -14.956595 -4.878922
250 5 300 55 368.5098877 -90.0 -5.484314 -10.471766 -0.496861
250 5 300 55 368.5098877 -85.0 1.761451 -3.082834 6.605508
250 5 300 55 368.5098877 -80.0 11.797783 7.232162 16.363640
250 5 300 55 368.5098877 -75.0 24.425587 20.147247 28.703686
250 5 300 55 368.5098877 -70.0 39.245975 34.864628 43.627323
250 5 300 55 368.5098877 -65.0 55.677700 50.383854 60.971313
250 5 300 55 368.5098877 -60.0 73.011177 66.049583 79.973007
250 5 300 55 368.5098877 -55.0 90.497849 81.471062 99.524643
250 5 300 55 368.5098877 -50.0 107.444145 96.277351 118.610947
250 5 300 55 368.5098877 -45.0 123.289612 110.128357 136.450867
250 5 300 55 368.5098877 -40.0 137.647293 122.772415 152.522171
250 5 300 55 368.5098877 -35.0 150.311432 134.073532 166.549561
250 5 300 55 368.5098877 -30.0 161.235153 144.006851 178.463715
250 5 300 55 368.5098877 -25.0 170.493301 152.635696 188.350662
250 5 300 55 368.5098877 -20.0 178.240250 160.078873 196.401627
250 5 300 55 368.5098877 -15.0 184.672699 166.477859 202.867294
250 5 300 55 368.5098877 -10.0 189.997620 171.972000 208.023468
250 5 300 55 368.5098877 -5.0 194.412186 176.680771 212.143600
250 5 300 55 368.5098877 0.0 198.090393 180.699310 215.481232
250 5 300 55 368.5098877 5.0 201.178757 184.097183 218.260086
250 5 300 55 368.5098877 10.0 203.795807 186.922638 220.669205
250 5 300 55 368.5098877 15.0 206.036423 189.211304 222.861542
250 5 300 55 368.5098877 20.0 207.973526 190.989456 224.957581
250 5 300 55 368.5098877 25.0 209.665405 192.281982 227.048828
250 5 300 55 368.5098877 30.0 211.157242 193.112503 229.202209
250 5 300 55 368.5098877 35.0 212.486084 193.507568 231.464355
250 5 300 55 368.5098877 40.0 213.680359 193.493225 233.867493
