Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
250 5 20 200 368.5098877 -120.0 14.187781 -0.621851 28.997414
250 5 20 200 368.5098877 -115.0 11.637414 -2.875861 26.150690
250 5 20 200 368.5098877 -110.0 8.876243 -4.928155 22.680407
250 5 20 200 368.5098877 -105.0 6.074450 -6.630793 18.779451
250 5 20 200 368.5098877 -100.0 3.420590 -7.860921 14.702108
250 5 20 200 368.5098877 -95.0 1.120218 -8.513393 10.753830
250 5 20 200 368.5098877 -90.0 -0.605839 -8.491413 7.279485
250 5 20 200 368.5098877 -85.0 -1.525031 -7.704619 4.654550
250 5 20 200 368.5098877 -80.0 -1.397890 -6.070816 3.275279
250 5 20 200 368.5098877 -75.0 0.009823 -3.530727 3.550132
250 5 20 200 368.5098877 -70.0 2.908414 -0.020292 5.837120
250 5 20 200 368.5098877 -65.0 7.466386 4.661004 10.271769
250 5 20 200 368.5098877 -60.0 13.785068 10.868072 16.702065
250 5 20 200 368.5098877 -55.0 21.878561 18.850430 24.906452
250 5 20 200 368.5098877 -50.0 31.660589 28.624096 34.697086
250 5 20 200 368.5098877 -45.0 42.945213 40.002171 45.888023
250 5 20 200 368.5098877 -40.0 55.459019 52.641205 58.277065
250 5 20 200 368.5098877 -35.0 68.872414 66.089973 71.654854
250 5 20 200 368.5098877 -30.0 82.829536 79.873108 85.785965
250 5 20 200 368.5098877 -25.0 96.981201 93.608917 100.353256
250 5 20 200 368.5098877 -20.0 110.999275 107.041908 114.956635
250 5 20 200 368.5098877 -15.0 124.582123 119.980652 129.183594
250 5 20 200 368.5098877 -10.0 137.448441 132.244461 142.652664
250 5 20 200 368.5098877 -5.0 149.336304 143.649536 155.023071
250 5 20 200 368.5098877 0.0 160.015060 154.022141 166.007996
250 5 20 200 368.5098877 5.0 169.311691 163.223404 175.400208
250 5 20 200 368.5098877 10.0 177.139175 171.173981 183.104385
250 5 20 200 368.5098877 15.0 183.511154 177.868607 189.153946
250 5 20 200 368.5098877 20.0 188.537079 183.373245 193.700912
250 5 20 200 368.5098877 25.0 192.394775 187.805023 196.984299
250 5 20 200 368.5098877 30.0 195.298401 191.303513 199.293518
250 5 20 200 368.5098877 35.0 197.467087 193.997040 200.937119
250 5 20 200 368.5098877 40.0 199.100891 195.980255 202.221268
