Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
250 5 20 55 368.5098877 -120.0 9.348268 -2.894751 21.591043
250 5 20 55 368.5098877 -115.0 9.649411 -0.627108 19.925930
250 5 20 55 368.5098877 -110.0 10.808560 2.498770 19.118109
250 5 20 55 368.5098877 -105.0 13.093640 6.625103 19.562178
250 5 20 55 368.5098877 -100.0 16.823471 11.918236 21.728949
250 5 20 55 368.5098877 -95.0 22.321426 18.560760 26.082090
250 5 20 55 368.5098877 -90.0 29.863077 26.767784 32.958363
250 5 20 55 368.5098877 -85.0 39.623352 36.808411 42.438538
250 5 20 55 368.5098877 -80.0 51.620914 48.884132 54.357704
250 5 20 55 368.5098877 -75.0 65.674835 62.930157 68.419510
250 5 20 55 368.5098877 -70.0 81.392189 78.568886 84.215256
250 5 20 55 368.5098877 -65.0 98.195084 95.201851 101.188324
250 5 20 55 368.5098877 -60.0 115.394958 112.140495 118.649185
250 5 20 55 368.5098877 -55.0 132.292496 128.724701 135.860535
250 5 20 55 368.5098877 -50.0 148.278259 144.403351 152.153168
250 5 20 55 368.5098877 -45.0 162.898834 158.784454 167.013229
250 5 20 55 368.5098877 -40.0 175.885620 171.647675 180.123566
250 5 20 55 368.5098877 -35.0 187.140839 182.925842 191.355850
250 5 20 55 368.5098877 -30.0 196.703003 192.663895 200.742096
250 5 20 55 368.5098877 -25.0 204.703049 200.975372 208.430725
250 5 20 55 368.5098877 -20.0 211.324539 207.999100 214.650223
250 5 20 55 368.5098877 -15.0 216.772308 213.858902 219.685715
250 5 20 55 368.5098877 -10.0 221.249496 218.632675 223.866074
250 5 20 55 368.5098877 -5.0 224.944199 222.357025 227.531128
250 5 20 55 368.5098877 0.0 228.022278 225.123444 230.920868
250 5 20 55 368.5098877 5.0 230.623550 227.137985 234.109375
250 5 20 55 368.5098877 10.0 232.863937 228.630768 237.096863
250 5 20 55 368.5098877 15.0 234.833542 229.780838 239.886230
250 5 20 55 368.5098877 20.0 236.602844 230.713409 242.492538
250 5 20 55 368.5098877 25.0 238.223984 231.514786 244.933212
250 5 20 55 368.5098877 30.0 239.733749 232.243484 247.223770
250 5 20 55 368.5098877 35.0 241.156281 232.936584 249.375961
250 5 20 55 368.5098877 40.0 242.507111 233.617035 251.396942
