Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
28 150 300 200 368.5098877 -120.0 -36.196522 -141.969086 69.576271
28 150 300 200 368.5098877 -115.0 -34.909981 -140.895020 71.075035
28 150 300 200 368.5098877 -110.0 -33.457825 -139.658920 72.743256
28 150 300 200 368.5098877 -105.0 -31.789845 -138.239014 74.659088
28 150 300 200 368.5098877 -100.0 -29.806385 -136.541626 76.929108
28 150 300 200 368.5098877 -95.0 -27.353281 -134.398270 79.691467
28 150 300 200 368.5098877 -90.0 -24.227402 -131.573303 83.118729
28 150 300 200 368.5098877 -85.0 -20.185923 -127.781578 87.409729
28 150 300 200 368.5098877 -80.0 -14.969017 -122.709038 92.770744
28 150 300 200 368.5098877 -75.0 -8.329841 -116.038063 99.378136
28 150 300 200 368.5098877 -70.0 -0.073827 -107.468719 107.320824
28 150 300 200 368.5098877 -65.0 9.894861 -96.747421 116.536903
28 150 300 200 368.5098877 -60.0 21.535116 -83.694672 126.764671
28 150 300 200 368.5098877 -55.0 34.653111 -68.248093 137.554321
28 150 300 200 368.5098877 -50.0 48.919502 -50.509285 148.348282
28 150 300 200 368.5098877 -45.0 63.911732 -30.789154 158.612610
28 150 300 200 368.5098877 -40.0 79.164711 -9.631196 167.960617
28 150 300 200 368.5098877 -35.0 94.214066 12.209579 176.218552
28 150 300 200 368.5098877 -30.0 108.627434 33.840992 183.413879
28 150 300 200 368.5098877 -25.0 122.029602 54.350773 189.708191
28 150 300 200 368.5098877 -20.0 134.120605 72.933502 195.307724
28 150 300 200 368.5098877 -15.0 144.685608 88.990479 200.380493
28 150 300 200 368.5098877 -10.0 153.592422 102.181366 205.003708
28 150 300 200 368.5098877 -5.0 160.785370 112.424667 209.146057
28 150 300 200 368.5098877 0.0 166.276627 119.862350 212.690674
28 150 300 200 368.5098877 5.0 170.144836 124.810127 215.479324
28 150 300 200 368.5098877 10.0 172.530533 127.700356 217.360962
28 150 300 200 368.5098877 15.0 173.631134 129.031342 218.231171
28 150 300 200 368.5098877 20.0 173.684433 129.318390 218.050476
28 150 300 200 368.5098877 25.0 172.948792 129.050705 216.846634
28 150 300 200 368.5098877 30.0 171.679459 128.656830 214.701843
28 150 300 200 368.5098877 35.0 170.108032 128.479492 211.736343
28 150 300 200 368.5098877 40.0 168.426666 128.763657 208.089920
