Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
28 150 300 55 368.5098877 -120.0 -13.168399 -38.843922 12.507132
28 150 300 55 368.5098877 -115.0 -10.197626 -34.164314 13.768813
28 150 300 55 368.5098877 -110.0 -5.161895 -27.991650 17.667860
28 150 300 55 368.5098877 -105.0 1.704334 -20.626152 24.034819
28 150 300 55 368.5098877 -100.0 10.054276 -12.435140 32.543697
28 150 300 55 368.5098877 -95.0 19.495729 -3.793386 42.784843
28 150 300 55 368.5098877 -90.0 29.662550 4.979825 54.345039
28 150 300 55 368.5098877 -85.0 40.272476 13.683255 66.861473
28 150 300 55 368.5098877 -80.0 51.156303 22.263590 80.049011
28 150 300 55 368.5098877 -75.0 62.252113 30.811665 93.692322
28 150 300 55 368.5098877 -70.0 73.572113 39.529911 107.614311
28 150 300 55 368.5098877 -65.0 85.157639 48.685280 121.629990
28 150 300 55 368.5098877 -60.0 97.032349 58.554787 135.509918
28 150 300 55 368.5098877 -55.0 109.163513 69.363556 148.963470
28 150 300 55 368.5098877 -50.0 121.432098 81.218201 161.645996
28 150 300 55 368.5098877 -45.0 133.615128 94.044136 173.185883
28 150 300 55 368.5098877 -40.0 145.388260 107.550743 183.225784
28 150 300 55 368.5098877 -35.0 156.358841 121.252853 191.465073
28 150 300 55 368.5098877 -30.0 166.127960 134.551773 197.704163
28 150 300 55 368.5098877 -25.0 174.368927 146.852142 201.885712
28 150 300 55 368.5098877 -20.0 180.895538 157.648483 204.142349
28 150 300 55 368.5098877 -15.0 185.688202 166.512527 204.863663
28 150 300 55 368.5098877 -10.0 188.884109 172.960022 204.808441
28 150 300 55 368.5098877 -5.0 190.737808 176.336853 205.138977
28 150 300 55 368.5098877 0.0 191.571671 176.290970 206.852371
28 150 300 55 368.5098877 5.0 191.730835 173.545578 209.916107
28 150 300 55 368.5098877 10.0 191.547775 169.376221 213.719086
28 150 300 55 368.5098877 15.0 191.314987 164.808441 217.821762
28 150 300 55 368.5098877 20.0 191.271011 160.522461 222.019791
28 150 300 55 368.5098877 25.0 191.591751 156.960892 226.222839
28 150 300 55 368.5098877 30.0 192.393585 154.405731 230.381210
28 150 300 55 368.5098877 35.0 193.738434 153.020248 234.456390
28 150 300 55 368.5098877 40.0 195.645187 152.878052 238.412079
