Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
28 150 20 200 368.5098877 -120.0 5.602902 1.368538 9.837266
28 150 20 200 368.5098877 -115.0 5.970002 2.015748 9.924022
28 150 20 200 368.5098877 -110.0 7.005829 2.893357 11.118301
28 150 20 200 368.5098877 -105.0 8.854020 4.036260 13.671538
28 150 20 200 368.5098877 -100.0 11.598218 5.574219 17.621975
28 150 20 200 368.5098877 -95.0 15.242490 7.724742 22.760231
28 150 20 200 368.5098877 -90.0 19.716570 10.693600 28.739300
28 150 20 200 368.5098877 -85.0 24.910034 14.631123 35.188946
28 150 20 200 368.5098877 -80.0 30.721327 19.626703 41.816177
28 150 20 200 368.5098877 -75.0 37.091393 25.716188 48.466595
28 150 20 200 368.5098877 -70.0 44.009003 32.884274 55.133503
28 150 20 200 368.5098877 -65.0 51.493767 41.068111 61.919189
28 150 20 200 368.5098877 -60.0 59.565514 50.156563 68.974709
28 150 20 200 368.5098877 -55.0 68.210381 59.981133 76.439392
28 150 20 200 368.5098877 -50.0 77.350464 70.309044 84.391640
28 150 20 200 368.5098877 -45.0 86.826096 80.843689 92.808739
28 150 20 200 368.5098877 -40.0 96.393982 91.243530 101.544434
28 150 20 200 368.5098877 -35.0 105.745811 101.169678 110.321709
28 150 20 200 368.5098877 -30.0 114.553444 110.332222 118.774658
28 150 20 200 368.5098877 -25.0 122.524567 118.508888 126.540245
28 150 20 200 368.5098877 -20.0 129.452225 125.548393 133.355804
28 150 20 200 368.5098877 -15.0 135.243195 131.396484 139.089661
28 150 20 200 368.5098877 -10.0 139.919235 136.120560 143.717651
28 150 20 200 368.5098877 -5.0 143.592896 139.893890 147.291901
28 150 20 200 368.5098877 0.0 146.434128 142.931107 149.937149
28 150 20 200 368.5098877 5.0 148.634369 145.387070 151.881653
28 150 20 200 368.5098877 10.0 150.378586 147.236450 153.520950
28 150 20 200 368.5098877 15.0 151.829315 148.255783 155.402603
28 150 20 200 368.5098877 20.0 153.115372 148.349472 157.881271
28 150 20 200 368.5098877 25.0 154.334518 147.713974 160.955292
28 150 20 200 368.5098877 30.0 155.554840 146.581360 164.528107
28 150 20 200 368.5098877 35.0 156.819870 145.108154 168.531830
28 150 20 200 368.5098877 40.0 158.156128 143.392853 172.919388
