Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
28 150 20 55 368.5098877 -120.0 -12.784326 -17.898449 -7.670444
28 150 20 55 368.5098877 -115.0 -10.912951 -15.447268 -6.378647
28 150 20 55 368.5098877 -110.0 -6.855929 -11.016202 -2.695656
28 150 20 55 368.5098877 -105.0 -0.434722 -4.562957 3.693527
28 150 20 55 368.5098877 -100.0 8.366695 3.967660 12.765495
28 150 20 55 368.5098877 -95.0 19.397264 14.588108 24.206421
28 150 20 55 368.5098877 -90.0 32.364925 27.156637 37.572975
28 150 20 55 368.5098877 -85.0 46.869362 41.369011 52.369942
28 150 20 55 368.5098877 -80.0 62.432083 56.812477 68.051453
28 150 20 55 368.5098877 -75.0 78.513672 73.008553 84.018799
28 150 20 55 368.5098877 -70.0 94.538628 89.422348 99.655136
28 150 20 55 368.5098877 -65.0 109.937874 105.442284 114.433228
28 150 20 55 368.5098877 -60.0 124.204498 120.299957 128.109039
28 150 20 55 368.5098877 -55.0 136.948700 133.007111 140.890045
28 150 20 55 368.5098877 -50.0 147.925491 142.909363 152.941620
28 150 20 55 368.5098877 -45.0 157.041901 150.242111 163.841690
28 150 20 55 368.5098877 -40.0 164.339050 155.512787 173.165558
28 150 20 55 368.5098877 -35.0 169.966309 159.164703 180.767914
28 150 20 55 368.5098877 -30.0 174.145462 161.588409 186.702530
28 150 20 55 368.5098877 -25.0 177.138702 163.134491 191.142670
28 150 20 55 368.5098877 -20.0 179.214890 164.107224 194.322556
28 150 20 55 368.5098877 -15.0 180.627380 164.758972 196.495544
28 150 20 55 368.5098877 -10.0 181.594376 165.287643 197.900864
28 150 20 55 368.5098877 -5.0 182.293213 165.841644 198.744781
28 150 20 55 368.5098877 0.0 182.857727 166.523041 199.192657
28 150 20 55 368.5098877 5.0 183.383774 167.397293 199.370483
28 150 20 55 368.5098877 10.0 183.935150 168.500519 199.370010
28 150 20 55 368.5098877 15.0 184.553192 169.845367 199.261246
28 150 20 55 368.5098877 20.0 185.263504 171.426605 199.100174
28 150 20 55 368.5098877 25.0 186.082077 173.228180 198.935974
28 150 20 55 368.5098877 30.0 187.021347 175.223358 198.819336
28 150 20 55 368.5098877 35.0 188.092072 177.380325 198.803574
28 150 20 55 368.5098877 40.0 189.303802 179.661575 198.946014
