Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
28 5 300 200 368.5098877 -120.0 -1.195931 -40.858936 38.467316
28 5 300 200 368.5098877 -115.0 2.033676 -37.305962 41.373314
28 5 300 200 368.5098877 -110.0 4.774768 -34.208290 43.757820
28 5 300 200 368.5098877 -105.0 7.149473 -31.421072 45.720245
28 5 300 200 368.5098877 -100.0 9.324848 -28.779398 47.428860
28 5 300 200 368.5098877 -95.0 11.483499 -26.104519 49.071266
28 5 300 200 368.5098877 -90.0 13.804663 -23.210217 50.819790
28 5 300 200 368.5098877 -85.0 16.450153 -19.908918 52.809467
28 5 300 200 368.5098877 -80.0 19.552134 -16.022303 55.126572
28 5 300 200 368.5098877 -75.0 23.206684 -11.395503 57.808865
28 5 300 200 368.5098877 -70.0 27.469490 -5.912591 60.851574
28 5 300 200 368.5098877 -65.0 32.352016 0.486862 64.217171
28 5 300 200 368.5098877 -60.0 37.824879 7.794774 67.855232
28 5 300 200 368.5098877 -55.0 43.824261 15.926268 71.722015
28 5 300 200 368.5098877 -50.0 50.261723 24.723375 75.800072
28 5 300 200 368.5098877 -45.0 57.040005 33.969330 80.110916
28 5 300 200 368.5098877 -40.0 64.065643 43.415329 84.716202
28 5 300 200 368.5098877 -35.0 71.259789 52.815201 89.704376
28 5 300 200 368.5098877 -30.0 78.560997 61.960533 95.161697
28 5 300 200 368.5098877 -25.0 85.925064 70.708893 101.141235
28 5 300 200 368.5098877 -20.0 93.314468 78.989044 107.640129
28 5 300 200 368.5098877 -15.0 100.689766 86.793114 114.586182
28 5 300 200 368.5098877 -10.0 107.997429 94.159332 121.835297
28 5 300 200 368.5098877 -5.0 115.166000 101.163704 129.168289
28 5 300 200 368.5098877 0.0 122.100822 107.901833 136.299820
28 5 300 200 368.5098877 5.0 128.685989 114.456886 142.915100
28 5 300 200 368.5098877 10.0 134.790054 120.857307 148.722794
28 5 300 200 368.5098877 15.0 140.278931 127.050751 153.507095
28 5 300 200 368.5098877 20.0 145.036942 132.916534 157.157333
28 5 300 200 368.5098877 25.0 148.988800 138.294022 159.683578
28 5 300 200 368.5098877 30.0 152.115631 143.006622 161.224640
28 5 300 200 368.5098877 35.0 154.456161 146.827530 162.085037
28 5 300 200 368.5098877 40.0 156.094269 149.378845 162.809692
