Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
28 5 300 55 368.5098877 -120.0 -16.839924 -25.776844 -7.902988
28 5 300 55 368.5098877 -115.0 -17.253143 -27.366186 -7.140098
28 5 300 55 368.5098877 -110.0 -16.549770 -28.025112 -5.074428
28 5 300 55 368.5098877 -105.0 -14.413115 -27.134127 -1.692330
28 5 300 55 368.5098877 -100.0 -10.505941 -24.126303 3.114433
28 5 300 55 368.5098877 -95.0 -4.489109 -18.551151 9.573169
28 5 300 55 368.5098877 -90.0 3.931099 -10.109917 17.972343
28 5 300 55 368.5098877 -85.0 14.935614 1.320738 28.550489
28 5 300 55 368.5098877 -80.0 28.526350 15.672213 41.380245
28 5 300 55 368.5098877 -75.0 44.482704 32.673241 56.292175
28 5 300 55 368.5098877 -70.0 62.353451 51.843666 72.863480
28 5 300 55 368.5098877 -65.0 81.486115 72.480835 90.491638
28 5 300 55 368.5098877 -60.0 101.088181 93.594101 108.582504
28 5 300 55 368.5098877 -55.0 120.312622 113.760201 126.865051
28 5 300 55 368.5098877 -50.0 138.350433 131.307816 145.393051
28 5 300 55 368.5098877 -45.0 154.518784 145.494858 163.542709
28 5 300 55 368.5098877 -40.0 168.328918 156.635132 180.022949
28 5 300 55 368.5098877 -35.0 179.521286 165.181763 193.861053
28 5 300 55 368.5098877 -30.0 188.063873 171.550400 204.577087
28 5 300 55 368.5098877 -25.0 194.117020 176.156174 212.078110
28 5 300 55 368.5098877 -20.0 197.983795 179.401794 216.565811
28 5 300 55 368.5098877 -15.0 200.050186 181.649582 218.450562
28 5 300 55 368.5098877 -10.0 200.736130 183.199265 218.272751
28 5 300 55 368.5098877 -5.0 200.455063 184.278824 216.631058
28 5 300 55 368.5098877 0.0 199.586533 185.051025 214.122040
28 5 300 55 368.5098877 5.0 198.457016 185.622009 211.292038
28 5 300 55 368.5098877 10.0 197.331802 186.058182 208.605438
28 5 300 55 368.5098877 15.0 196.411179 186.398270 206.424088
28 5 300 55 368.5098877 20.0 195.834702 186.671936 204.997742
28 5 300 55 368.5098877 25.0 195.687973 186.903519 204.472412
28 5 300 55 368.5098877 30.0 196.011810 187.111221 204.912415
28 5 300 55 368.5098877 35.0 196.812698 187.294998 206.330154
28 5 300 55 368.5098877 40.0 198.071274 187.434097 208.708206
