Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
28 5 20 200 368.5098877 -120.0 1.541572 -3.011849 6.094764
28 5 20 200 368.5098877 -115.0 4.551299 0.482090 8.620757
28 5 20 200 368.5098877 -110.0 8.065559 3.455249 12.676105
28 5 20 200 368.5098877 -105.0 12.201694 6.076836 18.326544
28 5 20 200 368.5098877 -100.0 17.058172 8.942449 25.173655
28 5 20 200 368.5098877 -95.0 22.710278 12.517409 32.902912
28 5 20 200 368.5098877 -90.0 29.203674 17.111942 41.295399
28 5 20 200 368.5098877 -85.0 36.545753 22.935900 50.155849
28 5 20 200 368.5098877 -80.0 44.693977 30.102316 59.285889
28 5 20 200 368.5098877 -75.0 53.547020 38.617882 68.476387
28 5 20 200 368.5098877 -70.0 62.936852 48.364063 77.509636
28 5 20 200 368.5098877 -65.0 72.626625 59.087990 86.165497
28 5 20 200 368.5098877 -60.0 82.319511 70.408470 94.230553
28 5 20 200 368.5098877 -55.0 91.676125 81.836967 101.515038
28 5 20 200 368.5098877 -50.0 100.348473 92.808983 107.888206
28 5 20 200 368.5098877 -45.0 108.024681 102.697845 113.351273
28 5 20 200 368.5098877 -40.0 114.474808 110.738045 118.211815
28 5 20 200 368.5098877 -35.0 119.599686 116.101921 123.097450
28 5 20 200 368.5098877 -30.0 123.455238 119.106392 127.804321
28 5 20 200 368.5098877 -25.0 126.260857 120.908691 131.613022
28 5 20 200 368.5098877 -20.0 128.373138 122.300865 134.445648
28 5 20 200 368.5098877 -15.0 130.237579 123.827354 136.648041
28 5 20 200 368.5098877 -10.0 132.316162 125.902596 138.729721
28 5 20 200 368.5098877 -5.0 135.007294 128.802856 141.211975
28 5 20 200 368.5098877 0.0 138.576279 132.641434 144.511139
28 5 20 200 368.5098877 5.0 143.107254 137.364792 148.849701
28 5 20 200 368.5098877 10.0 148.499573 142.781494 154.217636
28 5 20 200 368.5098877 15.0 154.505402 148.616913 160.393646
28 5 20 200 368.5098877 20.0 160.799698 154.574707 167.024460
28 5 20 200 368.5098877 25.0 167.059586 160.392212 173.726974
28 5 20 200 368.5098877 30.0 173.026230 165.877731 180.174713
28 5 20 200 368.5098877 35.0 178.535416 170.922791 186.148285
28 5 20 200 368.5098877 40.0 183.517853 175.493423 191.542038
