Ti(ppm) B(ppm) Al(ppm) N(ppm) O(ppm) Temp Predicted Pred-err Pred+err
28 5 20 55 368.5098877 -120.0 8.660908 3.127581 14.194234
28 5 20 55 368.5098877 -115.0 14.669129 9.194118 20.144142
28 5 20 55 368.5098877 -110.0 21.288712 16.019718 26.557941
28 5 20 55 368.5098877 -105.0 28.628639 23.733683 33.523838
28 5 20 55 368.5098877 -100.0 36.770412 32.389542 41.151283
28 5 20 55 368.5098877 -95.0 45.764221 41.959579 49.568863
28 5 20 55 368.5098877 -90.0 55.624409 52.342220 58.906597
28 5 20 55 368.5098877 -85.0 66.323479 63.395969 69.250755
28 5 20 55 368.5098877 -80.0 77.783051 75.002762 80.563339
28 5 20 55 368.5098877 -75.0 89.868805 87.096405 92.641441
28 5 20 55 368.5098877 -70.0 102.383560 99.583916 105.182968
28 5 20 55 368.5098877 -65.0 115.062988 112.259277 117.866936
28 5 20 55 368.5098877 -60.0 127.582047 124.794113 130.369980
28 5 20 55 368.5098877 -55.0 139.570526 136.786423 142.354874
28 5 20 55 368.5098877 -50.0 150.652481 147.837540 153.467422
28 5 20 55 368.5098877 -45.0 160.496887 157.623871 163.369675
28 5 20 55 368.5098877 -40.0 168.871933 165.941315 171.802307
28 5 20 55 368.5098877 -35.0 175.680084 172.715759 178.644394
28 5 20 55 368.5098877 -30.0 180.964142 177.994080 183.934418
28 5 20 55 368.5098877 -25.0 184.880142 181.916306 187.843994
28 5 20 55 368.5098877 -20.0 187.655899 184.683685 190.628098
28 5 20 55 368.5098877 -15.0 189.545670 186.522552 192.569016
28 5 20 55 368.5098877 -10.0 190.794678 187.657562 193.932037
28 5 20 55 368.5098877 -5.0 191.616119 188.292358 194.939896
28 5 20 55 368.5098877 0.0 192.181122 188.602814 195.759430
28 5 20 55 368.5098877 5.0 192.618484 188.733063 196.504150
28 5 20 55 368.5098877 10.0 193.019531 188.798553 197.240753
28 5 20 55 368.5098877 15.0 193.444473 188.886749 198.002213
28 5 20 55 368.5098877 20.0 193.930359 189.061935 198.798553
28 5 20 55 368.5098877 25.0 194.497025 189.367126 199.626923
28 5 20 55 368.5098877 30.0 195.154037 189.827927 200.480148
28 5 20 55 368.5098877 35.0 195.903778 190.455063 201.352264
28 5 20 55 368.5098877 40.0 196.744827 191.248306 202.241104
