C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);-120;-110;-100;-90;-80;-70;-60;-50;-40;-30;-20;-10;0;10;20;30;40
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;14;19;29;41;67;110;138;152;162;170;176;182;187;190;194;198;198
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;14;17;31;34;65;98;132;150;161;167;173;181;187;194;201;203;206
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;6;8;16;22;34;43;91;139;168;181;189;195;201;205;206;208;208
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;2;2;2;2;3;13;38;69;98;127;149;166;179;187;191;192;192
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;2;2;2;2;5;16;29;61;107;142;154;165;175;185;194;203;209
0.07;1.39;0.28;0.009;0.01;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;2;2;2;2;3;4;14;34;58;90;121;149;162;168;173;178;182
0.07;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;3;4;5;6;6;9;18;37;61;91;124;142;155;169;181;190;198
0.07;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;3;3;3;4;6;10;32;42;69;100;133;154;167;178;185;190;195
0.07;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;2;2;2;3;6;10;20;33;51;74;103;127;144;157;170;181;190
0.076;1.42;0.49;0.005;0.01;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;6;7;8;9;10;10;13;18;26;36;52;72;98;126;139;144;146
0.07;1.4;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;22;23;24;25;26;26;27;30;34;41;51;70;96;120;138;150;159
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;14;19;29;41;67;110;138;152;162;170;176;182;187;190;194;198;198
