C(%),Mn(%),Si(%),S(%),P(%),Ti(ppm),B(ppm),Al(ppm),N(ppm),O(ppm),Cr(%),Ni(%),Mo(%),V(ppm),Cu(%),Nb(ppm),-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40
0.062,0.62,0.29,0.007,0.007,6,2,5,72,500,0.03,3.01,0.005,5,0.03,5,10,15,26,38,62,90,111,132,147,162,174,181,186,189,191,191,191
0.057,0.65,0.3,0.007,0.007,36,2,5,72,460,0.03,3.03,0.005,5,0.03,5,24,37,66,90,110,128,142,155,165,174,179,182,184,186,186,186,186
0.059,0.63,0.31,0.007,0.007,82,2,5,64,426,0.03,3,0.005,5,0.03,5,7,18,31,50,87,112,130,145,158,169,178,184,188,191,192,192,192
0.065,0.65,0.35,0.007,0.006,150,2,5,68,384,0.03,3,0.005,5,0.03,5,26,34,43,56,82,116,140,155,169,179,188,195,199,203,205,205,205
0.069,0.67,0.39,0.006,0.011,220,2,5,70,328,0.03,2.96,0.005,5,0.03,5,6,20,36,55,84,115,137,153,167,178,187,194,198,202,203,203,203
0.064,0.65,0.3,0.004,0.008,6,2,5,51,400,0.03,2.88,0.005,5,0.03,5,8,18,34,53,75,97,118,138,155,168,178,187,194,199,202,202,202
0.063,0.65,0.28,0.005,0.008,35,2,5,53,363,0.03,2.82,0.005,5,0.03,5,2,28,58,82,106,126,147,162,174,185,193,200,205,210,213,213,213
0.061,0.63,0.29,0.004,0.007,87,2,5,55,361,0.03,2.89,0.005,5,0.03,5,2,14,35,69,107,133,151,165,178,186,194,200,205,209,210,210,210
0.062,0.6,0.25,0.004,0.009,140,2,5,57,350,0.03,2.83,0.005,5,0.03,5,2,15,46,83,117,146,165,178,186,190,191,192,192,192,193,193,193
0.066,0.63,0.32,0.004,0.008,260,2,5,56,314,0.03,2.93,0.005,5,0.03,5,2,11,35,65,109,143,164,178,189,197,204,210,214,216,216,216,216
0.071,0.63,0.39,0.004,0.008,6,2,5,41,279,0.03,2.73,0.005,5,0.03,5,2,9,18,38,71,105,133,153,168,181,190,195,198,198,198,198,198
0.07,0.65,0.39,0.003,0.009,60,2,5,43,269,0.03,2.78,0.005,5,0.03,5,9,26,46,70,138,151,162,174,185,194,203,212,219,224,226,226,226
0.068,0.65,0.29,0.003,0.01,110,2,5,50,272,0.03,2.79,0.005,5,0.03,5,10,27,51,94,150,162,170,179,186,194,201,208,213,216,218,218,218
0.068,0.62,0.29,0.003,0.009,170,2,5,56,286,0.03,2.78,0.005,5,0.03,5,3,19,52,86,121,147,171,190,202,207,210,210,210,210,210,210,210
0.062,0.57,0.3,0.003,0.008,230,2,5,56,277,0.03,2.78,0.005,5,0.03,5,10,24,46,80,129,157,172,186,195,203,209,211,213,214,214,214,214
0.054,0.66,0.31,0.007,0.007,8,2,22,58,495,0.03,5.37,0.005,5,0.03,5,28,34,46,58,71,89,110,123,125,126,126,126,126,127,127,127,128
0.057,0.66,0.32,0.007,0.008,48,2,23,65,469,0.03,5.43,0.005,5,0.03,5,30,44,58,70,86,98,113,126,132,133,134,134,135,135,136,136,136
0.058,0.62,0.3,0.007,0.007,107,2,24,60,412,0.03,5.38,0.005,5,0.03,5,50,63,77,90,102,114,125,133,139,140,141,142,142,142,142,142,142
0.063,0.66,0.35,0.006,0.006,177,2,25,67,340,0.03,5.48,0.005,5,0.03,5,25,40,54,69,84,103,120,134,146,151,152,152,152,152,152,152,152
0.063,0.65,0.37,0.006,0.006,236,2,5,79,319,0.03,5.45,0.005,5,0.03,5,32,45,61,68,80,111,130,140,147,155,157,158,158,158,158,158,158
0.056,0.24,0.37,0.008,0.006,58,2,5,52,505,0.03,5.46,0.005,5,0.03,5,29,30,32,35,45,55,69,81,91,97,99,99,99,99,99,99,99
0.057,0.24,0.36,0.008,0.006,110,2,5,54,415,0.03,5.48,0.005,5,0.03,5,22,32,42,54,70,88,106,117,123,126,128,128,128,128,128,128,128
0.062,0.25,0.38,0.007,0.006,190,2,5,57,356,0.03,5.37,0.005,5,0.03,5,24,35,51,61,77,91,105,118,133,139,143,146,148,150,150,150,150
0.066,0.27,0.42,0.007,0.006,280,2,5,54,312,0.03,5.37,0.005,5,0.03,5,4,16,30,47,67,86,108,126,139,146,146,146,146,146,146,146,146
0.068,0.7,0.38,0.006,0.007,9,2,5,39,360,0.03,4.91,0.005,5,0.03,5,10,26,42,54,68,86,106,122,130,134,138,142,144,145,146,146,146
0.064,0.71,0.34,0.005,0.007,47,2,5,47,370,0.03,4.94,0.005,5,0.03,5,12,28,45,65,81,102,120,137,146,149,150,152,153,154,154,154,154
0.068,0.67,0.34,0.005,0.007,110,2,5,39,344,0.03,4.99,0.005,5,0.03,5,22,29,35,46,61,77,100,119,138,147,151,155,156,159,160,160,160
0.067,0.61,0.28,0.006,0.007,160,2,5,54,348,0.03,5.01,0.005,5,0.03,5,17,35,53,66,86,108,126,144,147,149,152,155,157,160,162,162,162
0.07,0.69,0.33,0.004,0.007,250,2,5,57,312,0.03,4.96,0.005,5,0.03,5,25,34,45,60,76,93,114,134,154,156,158,160,162,163,163,163,163
