C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;Charpy
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-120;14
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-110;19
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-100;29
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-90;41
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-80;67
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-70;110
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-60;138
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-50;152
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-40;162
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-30;170
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-20;176
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-10;182
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;0;187
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;10;190
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;20;194
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;30;198
0.069;1.36;0.3;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;40;198
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-120;14
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-110;17
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-100;31
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-90;34
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-80;65
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-70;98
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-60;132
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-50;150
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-40;161
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-30;167
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-20;173
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-10;181
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;0;187
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;10;194
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;20;201
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;30;203
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;40;206
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-120;6
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-110;8
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-100;16
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-90;22
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-80;34
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-70;43
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-60;91
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-50;139
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-40;168
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-30;181
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-20;189
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-10;195
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;0;201
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;10;205
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;20;206
