Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Temp;Charpy
37;2;5;68;432;-120;14
37;2;5;68;432;-110;19
37;2;5;68;432;-100;29
37;2;5;68;432;-90;41
37;2;5;68;432;-80;67
37;2;5;68;432;-70;110
37;2;5;68;432;-60;138
37;2;5;68;432;-50;152
37;2;5;68;432;-40;162
37;2;5;68;432;-30;170
37;2;5;68;432;-20;176
37;2;5;68;432;-10;182
37;2;5;68;432;0;187
37;2;5;68;432;10;190
37;2;5;68;432;20;194
37;2;5;68;432;30;198
37;2;5;68;432;40;198
39;2;20;66;427;-120;14
39;2;20;66;427;-110;17
39;2;20;66;427;-100;31
39;2;20;66;427;-90;34
39;2;20;66;427;-80;65
39;2;20;66;427;-70;98
39;2;20;66;427;-60;132
39;2;20;66;427;-50;150
39;2;20;66;427;-40;161
39;2;20;66;427;-30;167
39;2;20;66;427;-20;173
39;2;20;66;427;-10;181
39;2;20;66;427;0;187
39;2;20;66;427;10;194
39;2;20;66;427;20;201
39;2;20;66;427;30;203
39;2;20;66;427;40;206
36;2;190;53;422;-120;6
36;2;190;53;422;-110;8
36;2;190;53;422;-100;16
36;2;190;53;422;-90;22
36;2;190;53;422;-80;34
36;2;190;53;422;-70;43
36;2;190;53;422;-60;91
36;2;190;53;422;-50;139
36;2;190;53;422;-40;168
36;2;190;53;422;-30;181
36;2;190;53;422;-20;189
36;2;190;53;422;-10;195
36;2;190;53;422;0;201
36;2;190;53;422;10;205
36;2;190;53;422;20;206
36;2;190;53;422;30;208
36;2;190;53;422;40;208
37;2;69;159;450;-120;2
37;2;69;159;450;-110;2
37;2;69;159;450;-100;2
37;2;69;159;450;-90;2
37;2;69;159;450;-80;3
37;2;69;159;450;-70;13
37;2;69;159;450;-60;38
37;2;69;159;450;-50;69
37;2;69;159;450;-40;98
37;2;69;159;450;-30;127
37;2;69;159;450;-20;149
37;2;69;159;450;-10;166
37;2;69;159;450;0;179
37;2;69;159;450;10;187
37;2;69;159;450;20;191
37;2;69;159;450;30;192
37;2;69;159;450;40;192
33;2;140;141;449;-120;2
33;2;140;141;449;-110;2
33;2;140;141;449;-100;2
33;2;140;141;449;-90;2
33;2;140;141;449;-80;5
33;2;140;141;449;-70;16
33;2;140;141;449;-60;29
33;2;140;141;449;-50;61
33;2;140;141;449;-40;107
33;2;140;141;449;-30;142
33;2;140;141;449;-20;154
33;2;140;141;449;-10;165
33;2;140;141;449;0;175
33;2;140;141;449;10;185
33;2;140;141;449;20;194
33;2;140;141;449;30;203
33;2;140;141;449;40;209
31;2;2;242;454;-120;2
31;2;2;242;454;-110;2
31;2;2;242;454;-100;2
31;2;2;242;454;-90;2
31;2;2;242;454;-80;3
31;2;2;242;454;-70;4
31;2;2;242;454;-60;14
31;2;2;242;454;-50;34
31;2;2;242;454;-40;58
