C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;-70;Ref;;;;;;;;;;;;;;;;;;;;
0.062;0.62;0.29;0.007;0.007;6;2;5;72;500;0.03;3.01;0.005;5;0.03;5;-70;90;A3Ni;;;;;;;;;;;;;;;;;;;;
0.057;0.65;0.30;0.007;0.007;36;2;5;72;460;0.03;3.03;0.005;5;0.03;5;-70;128;A3Ni;;;;;;;;;;;;;;;;;;;;
0.059;0.63;0.31;0.007;0.007;82;2;5;64;426;0.03;3.00;0.005;5;0.03;5;-70;112;A3Ni;;;;;;;;;;;;;;;;;;;;
0.065;0.65;0.35;0.007;0.006;150;2;5;68;384;0.03;3.00;0.005;5;0.03;5;-70;116;A3Ni;;;;;;;;;;;;;;;;;;;;
0.069;0.67;0.39;0.006;0.011;220;2;5;70;328;0.03;2.96;0.005;5;0.03;5;-70;115;A3Ni;;;;;;;;;;;;;;;;;;;;
0.064;0.65;0.30;0.004;0.008;6;2;5;51;400;0.03;2.88;0.005;5;0.03;5;-70;97;A3Ni;;;;;;;;;;;;;;;;;;;;
0.063;0.65;0.28;0.005;0.008;35;2;5;53;363;0.03;2.82;0.005;5;0.03;5;-70;126;A3Ni;;;;;;;;;;;;;;;;;;;;
0.061;0.63;0.29;0.004;0.007;87;2;5;55;361;0.03;2.89;0.005;5;0.03;5;-70;133;A3Ni;;;;;;;;;;;;;;;;;;;;
0.062;0.60;0.25;0.004;0.009;140;2;5;57;350;0.03;2.83;0.005;5;0.03;5;-70;146;A3Ni;;;;;;;;;;;;;;;;;;;;
0.066;0.63;0.32;0.004;0.008;260;2;5;56;314;0.03;2.93;0.005;5;0.03;5;-70;143;A3Ni;;;;;;;;;;;;;;;;;;;;
0.071;0.63;0.39;0.004;0.008;6;2;5;41;279;0.03;2.73;0.005;5;0.03;5;-70;105;A3Ni;;;;;;;;;;;;;;;;;;;;
0.070;0.65;0.39;0.003;0.009;60;2;5;43;269;0.03;2.78;0.005;5;0.03;5;-70;151;A3Ni;;;;;;;;;;;;;;;;;;;;
0.068;0.65;0.29;0.003;0.010;110;2;5;50;272;0.03;2.79;0.005;5;0.03;5;-70;162;A3Ni;;;;;;;;;;;;;;;;;;;;
0.068;0.62;0.29;0.003;0.009;170;2;5;56;286;0.03;2.78;0.005;5;0.03;5;-70;147;A3Ni;;;;;;;;;;;;;;;;;;;;
0.062;0.57;0.30;0.003;0.008;230;2;5;56;277;0.03;2.78;0.005;5;0.03;5;-70;157;A3Ni;;;;;;;;;;;;;;;;;;;;
0.054;0.66;0.31;0.007;0.007;8;2;22;58;495;0.03;5.37;0.005;5;0.03;5;-70;89;A5Ni;;;;;;;;;;;;;;;;;;;;
0.057;0.66;0.32;0.007;0.008;48;2;23;65;469;0.03;5.43;0.005;5;0.03;5;-70;98;A5Ni;;;;;;;;;;;;;;;;;;;;
0.058;0.62;0.30;0.007;0.007;107;2;24;60;412;0.03;5.38;0.005;5;0.03;5;-70;114;A5Ni;;;;;;;;;;;;;;;;;;;;
0.063;0.66;0.35;0.006;0.006;177;2;25;67;340;0.03;5.48;0.005;5;0.03;5;-70;103;A5Ni;;;;;;;;;;;;;;;;;;;;
0.063;0.65;0.37;0.006;0.006;236;2;5;79;319;0.03;5.45;0.005;5;0.03;5;-70;111;A5Ni;;;;;;;;;;;;;;;;;;;;
0.056;0.24;0.37;0.008;0.006;58;2;5;52;505;0.03;5.46;0.005;5;0.03;5;-70;55;A5Ni;;;;;;;;;;;;;;;;;;;;
0.057;0.24;0.36;0.008;0.006;110;2;5;54;415;0.03;5.48;0.005;5;0.03;5;-70;88;A5Ni;;;;;;;;;;;;;;;;;;;;
0.062;0.25;0.38;0.007;0.006;190;2;5;57;356;0.03;5.37;0.005;5;0.03;5;-70;91;A5Ni;;;;;;;;;;;;;;;;;;;;
0.066;0.27;0.42;0.007;0.006;280;2;5;54;312;0.03;5.37;0.005;5;0.03;5;-70;86;A5Ni;;;;;;;;;;;;;;;;;;;;
0.068;0.70;0.38;0.006;0.007;9;2;5;39;360;0.03;4.91;0.005;5;0.03;5;-70;86;A5Ni;;;;;;;;;;;;;;;;;;;;
0.064;0.71;0.34;0.005;0.007;47;2;5;47;370;0.03;4.94;0.005;5;0.03;5;-70;102;A5Ni;;;;;;;;;;;;;;;;;;;;
0.068;0.67;0.34;0.005;0.007;110;2;5;39;344;0.03;4.99;0.005;5;0.03;5;-70;77;A5Ni;;;;;;;;;;;;;;;;;;;;
0.067;0.61;0.28;0.006;0.007;160;2;5;54;348;0.03;5.01;0.005;5;0.03;5;-70;108;A5Ni;;;;;;;;;;;;;;;;;;;;
0.070;0.69;0.33;0.004;0.007;250;2;5;57;312;0.03;4.96;0.005;5;0.03;5;-70;93;A5Ni;;;;;;;;;;;;;;;;;;;;
0.075;0.67;0.43;0.004;0.009;7;2;5;38;260;0.03;4.80;0.005;5;0.03;5;-70;94;A5Ni;;;;;;;;;;;;;;;;;;;;
0.074;0.66;0.42;0.004;0.008;70;2;5;42;255;0.03;4.90;0.005;5;0.03;5;-70;102;A5Ni;;;;;;;;;;;;;;;;;;;;
0.075;0.64;0.39;0.004;0.008;130;2;5;43;253;0.03;4.88;0.005;5;0.03;5;-70;85;A5Ni;;;;;;;;;;;;;;;;;;;;
0.068;0.64;0.32;0.004;0.009;190;2;5;47;277;0.03;4.83;0.005;5;0.03;5;-70;87;A5Ni;;;;;;;;;;;;;;;;;;;;
0.067;0.59;0.32;0.004;0.009;280;2;5;55;265;0.03;4.78;0.005;5;0.03;5;-70;124;A5Ni;;;;;;;;;;;;;;;;;;;;
0.063;0.64;0.36;0.007;0.007;5;5;5;62;479;0.03;0.03;0.005;5;0.03;5;-70;42;AB;;;;;;;;;;;;;;;;;;;;
0.065;0.66;0.36;0.008;0.009;7;30;5;73;435;0.03;0.03;0.005;5;0.03;5;-70;34;AB;;;;;;;;;;;;;;;;;;;;
0.063;0.65;0.39;0.008;0.009;3;58;5;68;453;0.03;0.03;0.005;5;0.03;5;-70;29;AB;;;;;;;;;;;;;;;;;;;;
0.068;0.68;0.36;0.009;0.008;7;99;5;77;444;0.03;0.03;0.005;5;0.03;5;-70;37;AB;;;;;;;;;;;;;;;;;;;;
0.064;0.66;0.43;0.010;0.010;9;126;5;63;527;0.03;0.03;0.005;5;0.03;5;-70;30;AB;;;;;;;;;;;;;;;;;;;;
0.066;0.69;0.40;0.008;0.008;3;171;5;70;437;0.03;0.03;0.005;5;0.03;5;-70;50;AB;;;;;;;;;;;;;;;;;;;;
0.066;0.67;0.38;0.008;0.010;34;30;5;67;539;0.03;0.03;0.005;5;0.03;5;-70;14;AB;;;;;;;;;;;;;;;;;;;;
0.062;0.68;0.45;0.009;0.010;40;67;5;62;526;0.03;0.03;0.005;5;0.03;5;-70;10;AB;;;;;;;;;;;;;;;;;;;;
0.061;0.67;0.45;0.009;0.010;42;106;5;59;522;0.03;0.03;0.005;5;0.03;5;-70;10;AB;;;;;;;;;;;;;;;;;;;;
0.065;0.66;0.48;0.008;0.010;44;144;5;64;510;0.03;0.03;0.005;5;0.03;5;-70;28;AB;;;;;;;;;;;;;;;;;;;;
0.061;0.67;0.43;0.008;0.008;45;186;5;60;485;0.03;0.03;0.005;5;0.03;5;-70;24;AB;;;;;;;;;;;;;;;;;;;;
0.070;0.65;0.32;0.008;0.008;5;2;5;68;481;0.53;0.03;0.005;5;0.03;5;-70;62;ACrTi;;;;;;;;;;;;;;;;;;;;
0.071;0.65;0.31;0.007;0.006;34;2;5;70;450;0.53;0.03;0.005;5;0.03;5;-70;15;ACrTi;;;;;;;;;;;;;;;;;;;;
0.077;0.66;0.29;0.008;0.008;80;2;5;80;409;0.54;0.03;0.005;5;0.03;5;-70;6;ACrTi;;;;;;;;;;;;;;;;;;;;
0.075;0.60;0.31;0.007;0.008;140;2;5;79;348;0.52;0.03;0.005;5;0.03;5;-70;14;ACrTi;;;;;;;;;;;;;;;;;;;;
0.071;0.63;0.37;0.006;0.009;214;2;5;75;332;0.52;0.03;0.005;5;0.03;5;-70;18;ACrTi;;;;;;;;;;;;;;;;;;;;
0.070;0.65;0.35;0.008;0.010;5;2;5;78;504;1.01;0.03;0.005;5;0.03;5;-70;21;ACrTi;;;;;;;;;;;;;;;;;;;;
0.077;0.66;0.32;0.008;0.010;34;2;5;75;457;1.03;0.03;0.005;5;0.03;5;-70;15;ACrTi;;;;;;;;;;;;;;;;;;;;
0.082;0.67;0.34;0.006;0.009;83;2;5;83;418;1.04;0.03;0.005;5;0.03;5;-70;5;ACrTi;;;;;;;;;;;;;;;;;;;;
0.079;0.64;0.37;0.006;0.010;157;2;5;89;359;1.04;0.03;0.005;5;0.03;5;-70;3;ACrTi;;;;;;;;;;;;;;;;;;;;
0.086;0.62;0.38;0.003;0.010;238;2;5;79;334;1.04;0.03;0.005;5;0.03;5;-70;12;ACrTi;;;;;;;;;;;;;;;;;;;;
0.074;0.58;0.25;0.008;0.010;4;2;5;89;500;1.59;0.03;0.005;5;0.03;5;-70;3;ACrTi;;;;;;;;;;;;;;;;;;;;
0.078;0.62;0.26;0.007;0.005;29;2;5;100;472;1.60;0.03;0.005;5;0.03;5;-70;3;ACrTi;;;;;;;;;;;;;;;;;;;;
0.076;0.62;0.28;0.007;0.009;76;2;5;110;455;1.65;0.03;0.005;5;0.03;5;-70;7;ACrTi;;;;;;;;;;;;;;;;;;;;
0.080;0.63;0.28;0.007;0.005;118;2;5;130;395;1.70;0.03;0.005;5;0.03;5;-70;3;ACrTi;;;;;;;;;;;;;;;;;;;;
0.082;0.63;0.33;0.006;0.007;170;2;5;120;350;1.70;0.03;0.005;5;0.03;5;-70;5;ACrTi;;;;;;;;;;;;;;;;;;;;
0.078;0.64;0.28;0.008;0.007;42;2;5;95;482;2.15;0.03;0.005;5;0.03;5;-70;10;ACrTi;;;;;;;;;;;;;;;;;;;;
0.080;0.68;0.32;0.007;0.008;78;2;5;96;426;2.00;0.03;0.005;5;0.03;5;-70;2;ACrTi;;;;;;;;;;;;;;;;;;;;
0.088;0.67;0.34;0.007;0.008;140;2;5;99;361;2.05;0.03;0.005;5;0.03;5;-70;3;ACrTi;;;;;;;;;;;;;;;;;;;;
0.083;0.66;0.37;0.007;0.007;220;2;5;99;340;1.99;0.03;0.005;5;0.03;5;-70;4;ACrTi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-70;29;ACuTi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-70;27;ACuTi;;;;;;;;;;;;;;;;;;;;
0.074;0.67;0.35;0.008;0.007;95;2;5;73;384;0.03;0.03;0.005;5;0.03;5;-70;11;ACuTi;;;;;;;;;;;;;;;;;;;;
0.078;0.68;0.38;0.009;0.007;160;2;5;69;340;0.03;0.03;0.005;5;0.03;5;-70;12;ACuTi;;;;;;;;;;;;;;;;;;;;
0.079;0.73;0.44;0.006;0.008;240;2;5;69;290;0.03;0.03;0.005;5;0.03;5;-70;9;ACuTi;;;;;;;;;;;;;;;;;;;;
0.068;0.62;0.28;0.008;0.007;5;2;5;73;477;0.03;0.03;0.005;5;0.50;5;-70;81;ACuTi;;;;;;;;;;;;;;;;;;;;
0.063;0.64;0.30;0.008;0.008;43;2;5;74;453;0.03;0.03;0.005;5;0.53;5;-70;74;ACuTi;;;;;;;;;;;;;;;;;;;;
0.065;0.64;0.31;0.007;0.008;98;2;5;83;390;0.03;0.03;0.005;5;0.51;5;-70;34;ACuTi;;;;;;;;;;;;;;;;;;;;
0.069;0.63;0.32;0.007;0.010;170;2;5;70;369;0.03;0.03;0.005;5;0.49;5;-70;40;ACuTi;;;;;;;;;;;;;;;;;;;;
0.074;0.62;0.34;0.005;0.009;220;2;5;75;330;0.03;0.03;0.005;5;0.49;5;-70;37;ACuTi;;;;;;;;;;;;;;;;;;;;
0.065;0.62;0.30;0.007;0.009;4;2;5;72;519;0.03;0.03;0.005;5;1.03;5;-70;64;ACuTi;;;;;;;;;;;;;;;;;;;;
0.064;0.63;0.30;0.007;0.007;42;2;5;65;456;0.03;0.03;0.005;5;1.05;5;-70;78;ACuTi;;;;;;;;;;;;;;;;;;;;
0.068;0.63;0.30;0.007;0.007;100;2;5;63;454;0.03;0.03;0.005;5;1.05;5;-70;56;ACuTi;;;;;;;;;;;;;;;;;;;;
0.067;0.62;0.31;0.006;0.007;180;2;5;72;369;0.03;0.03;0.005;5;1.03;5;-70;34;ACuTi;;;;;;;;;;;;;;;;;;;;
0.070;0.61;0.36;0.006;0.009;290;2;5;65;349;0.03;0.03;0.005;5;1.02;5;-70;51;ACuTi;;;;;;;;;;;;;;;;;;;;
0.066;0.67;0.37;0.006;0.008;51;2;5;55;453;0.03;0.03;0.005;5;1.44;5;-70;43;ACuTi;;;;;;;;;;;;;;;;;;;;
0.069;0.66;0.33;0.006;0.008;108;2;5;61;417;0.03;0.03;0.005;5;1.50;5;-70;18;ACuTi;;;;;;;;;;;;;;;;;;;;
0.069;0.60;0.27;0.006;0.007;140;2;5;62;360;0.03;0.03;0.005;5;1.64;5;-70;18;ACuTi;;;;;;;;;;;;;;;;;;;;
0.071;0.62;0.35;0.005;0.006;250;2;5;69;315;0.03;0.03;0.005;5;1.55;5;-70;24;ACuTi;;;;;;;;;;;;;;;;;;;;
0.060;0.63;0.25;0.007;0.008;2;2;5;59;515;0.03;0.03;0.005;5;2.00;5;-70;10;ACuTi;;;;;;;;;;;;;;;;;;;;
0.061;0.65;0.25;0.007;0.008;39;2;5;66;514;0.03;0.03;0.005;5;2.02;5;-70;18;ACuTi;;;;;;;;;;;;;;;;;;;;
0.067;0.65;0.25;0.008;0.007;100;2;5;65;442;0.03;0.03;0.005;5;2.02;5;-70;10;ACuTi;;;;;;;;;;;;;;;;;;;;
0.070;0.66;0.29;0.006;0.008;180;2;5;65;388;0.03;0.03;0.005;5;2.03;5;-70;11;ACuTi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.34;0.006;0.007;300;2;5;67;358;0.03;0.03;0.005;5;2.04;5;-70;4;ACuTi;;;;;;;;;;;;;;;;;;;;
0.069;1.36;0.30;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-70;110;AlN;;;;;;;;;;;;;;;;;;;;
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-70;98;AlN;;;;;;;;;;;;;;;;;;;;
0.078;1.39;0.32;0.007;0.009;42;2;44;66;436;0.03;0.03;0.005;5;0.03;5;-70;66;AlN;;;;;;;;;;;;;;;;;;;;
0.080;1.41;0.33;0.006;0.009;43;2;78;55;432;0.03;0.03;0.005;5;0.03;5;-70;41;AlN;;;;;;;;;;;;;;;;;;;;
0.080;1.42;0.37;0.006;0.009;43;2;120;54;439;0.03;0.03;0.005;5;0.03;5;-70;53;AlN;;;;;;;;;;;;;;;;;;;;
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-70;43;AlN;;;;;;;;;;;;;;;;;;;;
0.078;1.31;0.44;0.005;0.008;36;2;340;50;431;0.03;0.03;0.005;5;0.03;5;-70;74;AlN;;;;;;;;;;;;;;;;;;;;
0.076;1.30;0.51;0.005;0.008;43;2;490;48;423;0.03;0.03;0.005;5;0.03;5;-70;68;AlN;;;;;;;;;;;;;;;;;;;;
0.079;1.32;0.57;0.004;0.008;38;2;610;52;422;0.03;0.03;0.005;5;0.03;5;-70;33;AlN;;;;;;;;;;;;;;;;;;;;
0.069;1.35;0.32;0.010;0.006;30;2;5;149;443;0.03;0.03;0.005;5;0.03;5;-70;25;AlN;;;;;;;;;;;;;;;;;;;;
0.070;1.40;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;-70;13;AlN;;;;;;;;;;;;;;;;;;;;
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-70;16;AlN;;;;;;;;;;;;;;;;;;;;
0.073;1.29;0.47;0.006;0.005;31;2;280;133;482;0.03;0.03;0.005;5;0.03;5;-70;15;AlN;;;;;;;;;;;;;;;;;;;;
0.072;1.32;0.50;0.006;0.006;32;2;444;132;409;0.03;0.03;0.005;5;0.03;5;-70;13;AlN;;;;;;;;;;;;;;;;;;;;
0.070;1.30;0.54;0.005;0.006;29;2;580;119;431;0.03;0.03;0.005;5;0.03;5;-70;21;AlN;;;;;;;;;;;;;;;;;;;;
0.070;1.39;0.28;0.009;0.010;31;2;2;242;454;0.03;0.03;0.005;5;0.03;5;-70;4;AlN;;;;;;;;;;;;;;;;;;;;
0.070;1.41;0.35;0.007;0.007;38;2;84;214;442;0.03;0.03;0.005;5;0.03;5;-70;9;AlN;;;;;;;;;;;;;;;;;;;;
0.070;1.37;0.39;0.007;0.009;32;2;210;202;475;0.03;0.03;0.005;5;0.03;5;-70;10;AlN;;;;;;;;;;;;;;;;;;;;
0.070;1.36;0.42;0.006;0.007;36;2;380;200;463;0.03;0.03;0.005;5;0.03;5;-70;10;AlN;;;;;;;;;;;;;;;;;;;;
0.076;1.42;0.49;0.005;0.010;55;2;470;191;364;0.03;0.03;0.005;5;0.03;5;-70;10;AlN;;;;;;;;;;;;;;;;;;;;
0.070;1.40;0.54;0.005;0.009;44;2;670;195;362;0.03;0.03;0.005;5;0.03;5;-70;26;AlN;;;;;;;;;;;;;;;;;;;;
0.069;1.36;0.30;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-70;110;AlO;;;;;;;;;;;;;;;;;;;;
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-70;98;AlO;;;;;;;;;;;;;;;;;;;;
0.078;1.39;0.32;0.007;0.009;42;2;44;66;436;0.03;0.03;0.005;5;0.03;5;-70;66;AlO;;;;;;;;;;;;;;;;;;;;
0.080;1.41;0.33;0.006;0.009;43;2;78;55;432;0.03;0.03;0.005;5;0.03;5;-70;41;AlO;;;;;;;;;;;;;;;;;;;;
0.080;1.42;0.37;0.006;0.009;43;2;120;54;439;0.03;0.03;0.005;5;0.03;5;-70;53;AlO;;;;;;;;;;;;;;;;;;;;
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-70;43;AlO;;;;;;;;;;;;;;;;;;;;
0.078;1.31;0.44;0.005;0.008;36;2;340;50;431;0.03;0.03;0.005;5;0.03;5;-70;74;AlO;;;;;;;;;;;;;;;;;;;;
0.076;1.30;0.51;0.005;0.008;43;2;490;48;423;0.03;0.03;0.005;5;0.03;5;-70;68;AlO;;;;;;;;;;;;;;;;;;;;
0.079;1.32;0.57;0.004;0.008;38;2;610;52;422;0.03;0.03;0.005;5;0.03;5;-70;33;AlO;;;;;;;;;;;;;;;;;;;;
0.074;1.48;0.35;0.006;0.007;34;2;5;75;400;0.03;0.03;0.005;5;0.03;5;-70;97;AlO;;;;;;;;;;;;;;;;;;;;
0.077;1.50;0.37;0.005;0.007;53;2;69;67;406;0.03;0.03;0.005;5;0.03;5;-70;57;AlO;;;;;;;;;;;;;;;;;;;;
0.079;1.44;0.44;0.005;0.007;42;2;160;52;410;0.03;0.03;0.005;5;0.03;5;-70;64;AlO;;;;;;;;;;;;;;;;;;;;
0.078;1.39;0.53;0.005;0.007;45;2;280;52;411;0.03;0.03;0.005;5;0.03;5;-70;64;AlO;;;;;;;;;;;;;;;;;;;;
0.077;1.40;0.61;0.004;0.008;52;2;430;45;390;0.03;0.03;0.005;5;0.03;5;-70;48;AlO;;;;;;;;;;;;;;;;;;;;
0.075;1.35;0.67;0.004;0.007;49;2;480;48;391;0.03;0.03;0.005;5;0.03;5;-70;44;AlO;;;;;;;;;;;;;;;;;;;;
0.077;1.52;0.34;0.005;0.006;33;2;4;65;324;0.03;0.03;0.005;5;0.03;5;-70;125;AlO;;;;;;;;;;;;;;;;;;;;
0.082;1.44;0.36;0.004;0.006;39;2;49;57;329;0.03;0.03;0.005;5;0.03;5;-70;82;AlO;;;;;;;;;;;;;;;;;;;;
0.084;1.39;0.42;0.004;0.006;44;2;95;48;339;0.03;0.03;0.005;5;0.03;5;-70;114;AlO;;;;;;;;;;;;;;;;;;;;
0.082;1.35;0.47;0.005;0.006;44;2;150;46;345;0.03;0.03;0.005;5;0.03;5;-70;129;AlO;;;;;;;;;;;;;;;;;;;;
0.086;1.30;0.50;0.004;0.007;32;2;240;56;334;0.03;0.03;0.005;5;0.03;5;-70;74;AlO;;;;;;;;;;;;;;;;;;;;
0.087;1.28;0.58;0.004;0.006;32;2;350;51;346;0.03;0.03;0.005;5;0.03;5;-70;48;AlO;;;;;;;;;;;;;;;;;;;;
0.074;1.51;0.35;0.004;0.009;28;2;5;54;331;0.03;0.03;0.005;5;0.03;5;-70;154;AlO;;;;;;;;;;;;;;;;;;;;
