C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;Joule
0.062;0.62;0.29;0.007;0.007;6;2;5;72;500;0.03;3.01;0.005;5;0.03;5;-80;62
0.062;0.62;0.29;0.007;0.007;6;2;5;72;500;0.03;3.01;0.005;5;0.03;5;-70;90
0.062;0.62;0.29;0.007;0.007;6;2;5;72;500;0.03;3.01;0.005;5;0.03;5;-60;111
0.057;0.65;0.3;0.007;0.007;36;2;5;72;460;0.03;3.03;0.005;5;0.03;5;-80;110
0.057;0.65;0.3;0.007;0.007;36;2;5;72;460;0.03;3.03;0.005;5;0.03;5;-70;128
0.057;0.65;0.3;0.007;0.007;36;2;5;72;460;0.03;3.03;0.005;5;0.03;5;-60;142
0.059;0.63;0.31;0.007;0.007;82;2;5;64;426;0.03;3;0.005;5;0.03;5;-80;87
0.059;0.63;0.31;0.007;0.007;82;2;5;64;426;0.03;3;0.005;5;0.03;5;-70;112
0.059;0.63;0.31;0.007;0.007;82;2;5;64;426;0.03;3;0.005;5;0.03;5;-60;130
0.065;0.65;0.35;0.007;0.006;150;2;5;68;384;0.03;3;0.005;5;0.03;5;-80;82
0.065;0.65;0.35;0.007;0.006;150;2;5;68;384;0.03;3;0.005;5;0.03;5;-70;116
0.065;0.65;0.35;0.007;0.006;150;2;5;68;384;0.03;3;0.005;5;0.03;5;-60;140
0.069;0.67;0.39;0.006;0.011;220;2;5;70;328;0.03;2.96;0.005;5;0.03;5;-80;84
0.069;0.67;0.39;0.006;0.011;220;2;5;70;328;0.03;2.96;0.005;5;0.03;5;-70;115
0.069;0.67;0.39;0.006;0.011;220;2;5;70;328;0.03;2.96;0.005;5;0.03;5;-60;137
0.064;0.65;0.3;0.004;0.008;6;2;5;51;400;0.03;2.88;0.005;5;0.03;5;-80;75
0.064;0.65;0.3;0.004;0.008;6;2;5;51;400;0.03;2.88;0.005;5;0.03;5;-70;97
0.064;0.65;0.3;0.004;0.008;6;2;5;51;400;0.03;2.88;0.005;5;0.03;5;-60;118
0.063;0.65;0.28;0.005;0.008;35;2;5;53;363;0.03;2.82;0.005;5;0.03;5;-80;106
0.063;0.65;0.28;0.005;0.008;35;2;5;53;363;0.03;2.82;0.005;5;0.03;5;-70;126
0.063;0.65;0.28;0.005;0.008;35;2;5;53;363;0.03;2.82;0.005;5;0.03;5;-60;147
0.061;0.63;0.29;0.004;0.007;87;2;5;55;361;0.03;2.89;0.005;5;0.03;5;-80;107
0.061;0.63;0.29;0.004;0.007;87;2;5;55;361;0.03;2.89;0.005;5;0.03;5;-70;133
0.061;0.63;0.29;0.004;0.007;87;2;5;55;361;0.03;2.89;0.005;5;0.03;5;-60;151
0.062;0.6;0.25;0.004;0.009;140;2;5;57;350;0.03;2.83;0.005;5;0.03;5;-80;117
0.062;0.6;0.25;0.004;0.009;140;2;5;57;350;0.03;2.83;0.005;5;0.03;5;-70;146
0.062;0.6;0.25;0.004;0.009;140;2;5;57;350;0.03;2.83;0.005;5;0.03;5;-60;165
0.066;0.63;0.32;0.004;0.008;260;2;5;56;314;0.03;2.93;0.005;5;0.03;5;-80;109
0.066;0.63;0.32;0.004;0.008;260;2;5;56;314;0.03;2.93;0.005;5;0.03;5;-70;143
0.066;0.63;0.32;0.004;0.008;260;2;5;56;314;0.03;2.93;0.005;5;0.03;5;-60;164
0.071;0.63;0.39;0.004;0.008;6;2;5;41;279;0.03;2.73;0.005;5;0.03;5;-80;71
0.071;0.63;0.39;0.004;0.008;6;2;5;41;279;0.03;2.73;0.005;5;0.03;5;-70;105
0.071;0.63;0.39;0.004;0.008;6;2;5;41;279;0.03;2.73;0.005;5;0.03;5;-60;133
0.07;0.65;0.39;0.003;0.009;60;2;5;43;269;0.03;2.78;0.005;5;0.03;5;-80;138
0.07;0.65;0.39;0.003;0.009;60;2;5;43;269;0.03;2.78;0.005;5;0.03;5;-70;151
0.07;0.65;0.39;0.003;0.009;60;2;5;43;269;0.03;2.78;0.005;5;0.03;5;-60;162
0.068;0.65;0.29;0.003;0.01;110;2;5;50;272;0.03;2.79;0.005;5;0.03;5;-80;150
0.068;0.65;0.29;0.003;0.01;110;2;5;50;272;0.03;2.79;0.005;5;0.03;5;-70;162
0.068;0.65;0.29;0.003;0.01;110;2;5;50;272;0.03;2.79;0.005;5;0.03;5;-60;170
0.068;0.62;0.29;0.003;0.009;170;2;5;56;286;0.03;2.78;0.005;5;0.03;5;-80;121
0.068;0.62;0.29;0.003;0.009;170;2;5;56;286;0.03;2.78;0.005;5;0.03;5;-70;147
0.068;0.62;0.29;0.003;0.009;170;2;5;56;286;0.03;2.78;0.005;5;0.03;5;-60;171
0.062;0.57;0.3;0.003;0.008;230;2;5;56;277;0.03;2.78;0.005;5;0.03;5;-80;129
0.062;0.57;0.3;0.003;0.008;230;2;5;56;277;0.03;2.78;0.005;5;0.03;5;-70;157
0.062;0.57;0.3;0.003;0.008;230;2;5;56;277;0.03;2.78;0.005;5;0.03;5;-60;172
0.054;0.66;0.31;0.007;0.007;8;2;22;58;495;0.03;5.37;0.005;5;0.03;5;-80;71
0.054;0.66;0.31;0.007;0.007;8;2;22;58;495;0.03;5.37;0.005;5;0.03;5;-70;89
0.054;0.66;0.31;0.007;0.007;8;2;22;58;495;0.03;5.37;0.005;5;0.03;5;-60;110
0.057;0.66;0.32;0.007;0.008;48;2;23;65;469;0.03;5.43;0.005;5;0.03;5;-80;86
0.057;0.66;0.32;0.007;0.008;48;2;23;65;469;0.03;5.43;0.005;5;0.03;5;-70;98
0.057;0.66;0.32;0.007;0.008;48;2;23;65;469;0.03;5.43;0.005;5;0.03;5;-60;113
0.058;0.62;0.3;0.007;0.007;107;2;24;60;412;0.03;5.38;0.005;5;0.03;5;-80;102
0.058;0.62;0.3;0.007;0.007;107;2;24;60;412;0.03;5.38;0.005;5;0.03;5;-70;114
0.058;0.62;0.3;0.007;0.007;107;2;24;60;412;0.03;5.38;0.005;5;0.03;5;-60;125
0.063;0.66;0.35;0.006;0.006;177;2;25;67;340;0.03;5.48;0.005;5;0.03;5;-80;84
0.063;0.66;0.35;0.006;0.006;177;2;25;67;340;0.03;5.48;0.005;5;0.03;5;-70;103
0.063;0.66;0.35;0.006;0.006;177;2;25;67;340;0.03;5.48;0.005;5;0.03;5;-60;120
0.063;0.65;0.37;0.006;0.006;236;2;5;79;319;0.03;5.45;0.005;5;0.03;5;-80;80
0.063;0.65;0.37;0.006;0.006;236;2;5;79;319;0.03;5.45;0.005;5;0.03;5;-70;111
0.063;0.65;0.37;0.006;0.006;236;2;5;79;319;0.03;5.45;0.005;5;0.03;5;-60;130
0.056;0.24;0.37;0.008;0.006;58;2;5;52;505;0.03;5.46;0.005;5;0.03;5;-80;45
0.056;0.24;0.37;0.008;0.006;58;2;5;52;505;0.03;5.46;0.005;5;0.03;5;-70;55
0.056;0.24;0.37;0.008;0.006;58;2;5;52;505;0.03;5.46;0.005;5;0.03;5;-60;69
0.057;0.24;0.36;0.008;0.006;110;2;5;54;415;0.03;5.48;0.005;5;0.03;5;-80;70
0.057;0.24;0.36;0.008;0.006;110;2;5;54;415;0.03;5.48;0.005;5;0.03;5;-70;88
0.057;0.24;0.36;0.008;0.006;110;2;5;54;415;0.03;5.48;0.005;5;0.03;5;-60;106
0.062;0.25;0.38;0.007;0.006;190;2;5;57;356;0.03;5.37;0.005;5;0.03;5;-80;77
0.062;0.25;0.38;0.007;0.006;190;2;5;57;356;0.03;5.37;0.005;5;0.03;5;-70;91
0.062;0.25;0.38;0.007;0.006;190;2;5;57;356;0.03;5.37;0.005;5;0.03;5;-60;105
0.066;0.27;0.42;0.007;0.006;280;2;5;54;312;0.03;5.37;0.005;5;0.03;5;-80;67
0.066;0.27;0.42;0.007;0.006;280;2;5;54;312;0.03;5.37;0.005;5;0.03;5;-70;86
0.066;0.27;0.42;0.007;0.006;280;2;5;54;312;0.03;5.37;0.005;5;0.03;5;-60;108
0.068;0.7;0.38;0.006;0.007;9;2;5;39;360;0.03;4.91;0.005;5;0.03;5;-80;68
0.068;0.7;0.38;0.006;0.007;9;2;5;39;360;0.03;4.91;0.005;5;0.03;5;-70;86
0.068;0.7;0.38;0.006;0.007;9;2;5;39;360;0.03;4.91;0.005;5;0.03;5;-60;106
0.064;0.71;0.34;0.005;0.007;47;2;5;47;370;0.03;4.94;0.005;5;0.03;5;-80;81
0.064;0.71;0.34;0.005;0.007;47;2;5;47;370;0.03;4.94;0.005;5;0.03;5;-70;102
